Layer,Mean
att.key.l0,6.466725781850338
att.key.l1,6.525688579560734
att.key.l10,6.536700100750189
att.key.l11,6.509558524102481
att.key.l2,6.51756295595718
att.key.l3,6.513056791797615
att.key.l4,6.51524527814868
att.key.l5,6.495252074582852
att.key.l6,6.4918121773449435
att.key.l7,6.529883903718907
att.key.l8,6.517448625092605
att.key.l9,6.512201477587046
att.receptance.l0,6.522510860931383
att.receptance.l1,6.530871479130981
att.receptance.l10,6.5239004629159
att.receptance.l11,6.503524043605611
att.receptance.l2,6.522894356421631
att.receptance.l3,6.5194945604845325
att.receptance.l4,6.515877597861369
att.receptance.l5,6.524255452499183
att.receptance.l6,6.513952514258674
att.receptance.l7,6.548364426497063
att.receptance.l8,6.545731969968022
att.receptance.l9,6.530125459822408
att.sigmoid.l0,6.4680428637052705
att.sigmoid.l1,6.4439384815110445
att.sigmoid.l10,6.472319730556749
att.sigmoid.l11,6.486495378084464
att.sigmoid.l2,6.44229391926336
att.sigmoid.l3,6.428008948422608
att.sigmoid.l4,6.425832634709442
att.sigmoid.l5,6.4560417227254305
att.sigmoid.l6,6.421110751463935
att.sigmoid.l7,6.470375798205857
att.sigmoid.l8,6.4388137201161815
att.sigmoid.l9,6.491142377541971
att.value.l0,6.528035274688537
att.value.l1,6.540143209025927
att.value.l10,6.590648824042384
att.value.l11,6.572184247847585
att.value.l2,6.544354753667414
att.value.l3,6.538172263663839
att.value.l4,6.53038859749435
att.value.l5,6.570327726402405
att.value.l6,6.561413713982035
att.value.l7,6.555690224981059
att.value.l8,6.57534361094584
att.value.l9,6.583522353171109
block.ln0,6.562977903821499
block.ln1.l0,6.481375394794355
block.ln1.l1,6.5766095064843615
block.ln1.l10,6.566635495887987
block.ln1.l11,6.577499863270475
block.ln1.l2,6.579978152857404
block.ln1.l3,6.571406821155444
block.ln1.l4,6.575868984799135
block.ln1.l5,6.579078319982618
block.ln1.l6,6.563072259137639
block.ln1.l7,6.573184332952645
block.ln1.l8,6.565222238183543
block.ln1.l9,6.573421603589563
block.ln2.l0,6.5854126016021475
block.ln2.l1,6.587367749566682
block.ln2.l10,6.588134295374549
block.ln2.l11,6.515655181845313
block.ln2.l2,6.591431567824095
block.ln2.l3,6.597044911663494
block.ln2.l4,6.59097844654988
block.ln2.l5,6.5949528101033446
block.ln2.l6,6.592577871262606
block.ln2.l7,6.596499199575925
block.ln2.l8,6.595123507367551
block.ln2.l9,6.59311936743525
ffn.key.l0,6.5856316234533905
ffn.key.l1,6.563105016686357
ffn.key.l10,6.549000026650247
ffn.key.l11,6.536474650052197
ffn.key.l2,6.552698668881352
ffn.key.l3,6.550595131112311
ffn.key.l4,6.545331878116097
ffn.key.l5,6.545360487066754
ffn.key.l6,6.543252585929697
ffn.key.l7,6.549321840969633
ffn.key.l8,6.557749744354683
ffn.key.l9,6.553683422554782
ffn.receptance.l0,6.584457282845731
ffn.receptance.l1,6.57543015755089
ffn.receptance.l10,6.565323081504857
ffn.receptance.l11,6.562822973555047
ffn.receptance.l2,6.581620778783134
ffn.receptance.l3,6.583964326169543
ffn.receptance.l4,6.587308157133614
ffn.receptance.l5,6.576814198866332
ffn.receptance.l6,6.582959282997926
ffn.receptance.l7,6.588495622424809
ffn.receptance.l8,6.582002936238899
ffn.receptance.l9,6.582688750394379
ffn.sigmoid.l0,6.493957696146438
ffn.sigmoid.l1,6.436236835098967
ffn.sigmoid.l10,6.459553751103949
ffn.sigmoid.l11,6.585383243212348
ffn.sigmoid.l2,6.415783401786586
ffn.sigmoid.l3,6.44569145076036
ffn.sigmoid.l4,6.443886834437498
ffn.sigmoid.l5,6.454558134772971
ffn.sigmoid.l6,6.46700558277065
ffn.sigmoid.l7,6.460187613769021
ffn.sigmoid.l8,6.4609353840414485
ffn.sigmoid.l9,6.462753622001732
ffn.value.l0,6.60473481669105
ffn.value.l1,6.600003581191611
ffn.value.l10,6.571659037213221
ffn.value.l11,6.560730085810518
ffn.value.l2,6.584283641019534
ffn.value.l3,6.565240894745852
ffn.value.l4,6.579211727000867
ffn.value.l5,6.574196327409439
ffn.value.l6,6.584202797067761
ffn.value.l7,6.589720240799665
ffn.value.l8,6.577708149858252
ffn.value.l9,6.584829071585465
head,6.506323425661746
