Layer,Mean
att.key.l0,6.569129531953674
att.key.l1,6.5235610366154635
att.key.l10,6.502401604937805
att.key.l11,6.505091911434971
att.key.l2,6.520146217201116
att.key.l3,6.507971667350654
att.key.l4,6.514914590573706
att.key.l5,6.501540863953956
att.key.l6,6.521411829369957
att.key.l7,6.5345616732663325
att.key.l8,6.501088692091221
att.key.l9,6.507778595183045
att.receptance.l0,6.504508827120049
att.receptance.l1,6.529993732693971
att.receptance.l10,6.508825555326865
att.receptance.l11,6.546057435385916
att.receptance.l2,6.523383922282634
att.receptance.l3,6.520626361928912
att.receptance.l4,6.512090174803394
att.receptance.l5,6.529633155566687
att.receptance.l6,6.510337015971033
att.receptance.l7,6.535068028090722
att.receptance.l8,6.536731599547677
att.receptance.l9,6.525662128413126
att.sigmoid.l0,6.465930604229925
att.sigmoid.l1,6.44766718990304
att.sigmoid.l10,6.469512158395792
att.sigmoid.l11,6.46244297394411
att.sigmoid.l2,6.438351461241589
att.sigmoid.l3,6.428008537798186
att.sigmoid.l4,6.422684022624084
att.sigmoid.l5,6.4472402335433046
att.sigmoid.l6,6.418270209806123
att.sigmoid.l7,6.466051351781515
att.sigmoid.l8,6.43479283245877
att.sigmoid.l9,6.480966393703956
att.value.l0,6.526587328469008
att.value.l1,6.529303495423381
att.value.l10,6.583178426275189
att.value.l11,6.570710693310757
att.value.l2,6.5419979641833
att.value.l3,6.547099604992
att.value.l4,6.534977617479404
att.value.l5,6.559506219471808
att.value.l6,6.561650685812625
att.value.l7,6.554037607533989
att.value.l8,6.575178688446249
att.value.l9,6.5851024445813815
block.ln0,6.563501444398224
block.ln1.l0,6.475854516622344
block.ln1.l1,6.589069738608311
block.ln1.l10,6.574137381653393
block.ln1.l11,6.57344115770058
block.ln1.l2,6.584351907919277
block.ln1.l3,6.570456063327045
block.ln1.l4,6.583046278248567
block.ln1.l5,6.5851320983707815
block.ln1.l6,6.573569830116956
block.ln1.l7,6.573030761405682
block.ln1.l8,6.571504381445915
block.ln1.l9,6.5780497616819815
block.ln2.l0,6.579167126254787
block.ln2.l1,6.580217006916382
block.ln2.l10,6.586114837966167
block.ln2.l11,6.587828539564493
block.ln2.l2,6.5848247454398745
block.ln2.l3,6.595841903937314
block.ln2.l4,6.594471375001841
block.ln2.l5,6.587995904099934
block.ln2.l6,6.586001302344841
block.ln2.l7,6.5941860726514046
block.ln2.l8,6.601572193510584
block.ln2.l9,6.593939905011567
ffn.key.l0,6.5794816915235455
ffn.key.l1,6.571039557604215
ffn.key.l10,6.552075773088119
ffn.key.l11,6.5400970482142755
ffn.key.l2,6.550454141375404
ffn.key.l3,6.552329575682424
ffn.key.l4,6.546580692344351
ffn.key.l5,6.544084208511308
ffn.key.l6,6.544178516405517
ffn.key.l7,6.5500968750349156
ffn.key.l8,6.552639922328769
ffn.key.l9,6.555696534917318
ffn.receptance.l0,6.584465893159842
ffn.receptance.l1,6.581072826005205
ffn.receptance.l10,6.569980255651225
ffn.receptance.l11,6.566679429646286
ffn.receptance.l2,6.579338906548968
ffn.receptance.l3,6.577094927198355
ffn.receptance.l4,6.58079304997218
ffn.receptance.l5,6.5756118361651605
ffn.receptance.l6,6.583410601989612
ffn.receptance.l7,6.580731129266649
ffn.receptance.l8,6.581705836778278
ffn.receptance.l9,6.576767984664048
ffn.sigmoid.l0,6.498047233420758
ffn.sigmoid.l1,6.431605106552146
ffn.sigmoid.l10,6.465665157722178
ffn.sigmoid.l11,6.590903919566571
ffn.sigmoid.l2,6.418292594140659
ffn.sigmoid.l3,6.464605007666425
ffn.sigmoid.l4,6.4441969396069805
ffn.sigmoid.l5,6.445400748744388
ffn.sigmoid.l6,6.466650946876306
ffn.sigmoid.l7,6.456025949141687
ffn.sigmoid.l8,6.462402330573908
ffn.sigmoid.l9,6.459894153875161
ffn.value.l0,6.607230128469822
ffn.value.l1,6.598766930326809
ffn.value.l10,6.578155793847881
ffn.value.l11,6.567922247849127
ffn.value.l2,6.586190691134143
ffn.value.l3,6.576119958574339
ffn.value.l4,6.584502744654527
ffn.value.l5,6.581146221884724
ffn.value.l6,6.584787743757546
ffn.value.l7,6.587436345557306
ffn.value.l8,6.570971800746852
ffn.value.l9,6.582451526128665
head,6.50712086637946
