Layer,Mean
att.key.l0,6.459140771640108
att.key.l1,6.52312127702866
att.key.l10,6.49867374057062
att.key.l11,6.49850380560217
att.key.l2,6.502778173046197
att.key.l3,6.5068689545177545
att.key.l4,6.509563421141792
att.key.l5,6.504354515742127
att.key.l6,6.514716510787694
att.key.l7,6.529018798947252
att.key.l8,6.506097841351131
att.key.l9,6.507782317691896
att.receptance.l0,6.5225079705956155
att.receptance.l1,6.540020482871369
att.receptance.l10,6.523926029370594
att.receptance.l11,6.505203417444319
att.receptance.l2,6.527266239988818
att.receptance.l3,6.567654047347643
att.receptance.l4,6.504125725053373
att.receptance.l5,6.521052111669801
att.receptance.l6,6.509738756120602
att.receptance.l7,6.540033319538584
att.receptance.l8,6.538888862960583
att.receptance.l9,6.522592068415772
att.sigmoid.l0,6.473568417589278
att.sigmoid.l1,6.447939086141221
att.sigmoid.l10,6.480044058125802
att.sigmoid.l11,6.483619202879278
att.sigmoid.l2,6.442046086583545
att.sigmoid.l3,6.423643315790536
att.sigmoid.l4,6.419242232830896
att.sigmoid.l5,6.451172125988354
att.sigmoid.l6,6.425375039121778
att.sigmoid.l7,6.486697536204982
att.sigmoid.l8,6.433226806920827
att.sigmoid.l9,6.477738622362868
att.value.l0,6.530665098489032
att.value.l1,6.543812466411596
att.value.l10,6.571070206295046
att.value.l11,6.566520310816789
att.value.l2,6.5412778812783445
att.value.l3,6.540774356419014
att.value.l4,6.527343164911287
att.value.l5,6.565607240621536
att.value.l6,6.5633109432179655
att.value.l7,6.550013768694387
att.value.l8,6.563132117639673
att.value.l9,6.58447505282736
block.ln0,6.5576458870820105
block.ln1.l0,6.4752994688968135
block.ln1.l1,6.5719285843658435
block.ln1.l10,6.572353434239427
block.ln1.l11,6.569376623935398
block.ln1.l2,6.580654448807033
block.ln1.l3,6.579160689659549
block.ln1.l4,6.583869102297527
block.ln1.l5,6.578438294249917
block.ln1.l6,6.568057708754521
block.ln1.l7,6.566196899079978
block.ln1.l8,6.565149387233812
block.ln1.l9,6.571564990963919
block.ln2.l0,6.578130008480777
block.ln2.l1,6.581114766028549
block.ln2.l10,6.584436800611875
block.ln2.l11,6.5308061415904115
block.ln2.l2,6.598320705232733
block.ln2.l3,6.593693259560058
block.ln2.l4,6.592259075329294
block.ln2.l5,6.600108043034389
block.ln2.l6,6.5938646557835545
block.ln2.l7,6.586782994266189
block.ln2.l8,6.588342121940279
block.ln2.l9,6.589704309989556
ffn.key.l0,6.582505012429628
ffn.key.l1,6.563198307220142
ffn.key.l10,6.541612432986063
ffn.key.l11,6.533555724384168
ffn.key.l2,6.550664294719389
ffn.key.l3,6.5542442101264955
ffn.key.l4,6.539595851467642
ffn.key.l5,6.539850767516548
ffn.key.l6,6.539012704289981
ffn.key.l7,6.546071360790805
ffn.key.l8,6.554450547316018
ffn.key.l9,6.550372771638405
ffn.receptance.l0,6.586281109971998
ffn.receptance.l1,6.576846804810134
ffn.receptance.l10,6.5751197033453765
ffn.receptance.l11,6.54958622032984
ffn.receptance.l2,6.581844304782368
ffn.receptance.l3,6.5789807489447645
ffn.receptance.l4,6.58597334832811
ffn.receptance.l5,6.571763385038232
ffn.receptance.l6,6.574429668472446
ffn.receptance.l7,6.574831893427631
ffn.receptance.l8,6.584586541180142
ffn.receptance.l9,6.577305258379884
ffn.sigmoid.l0,6.477239057253645
ffn.sigmoid.l1,6.428801368041245
ffn.sigmoid.l10,6.454922764236038
ffn.sigmoid.l11,6.610807843787119
ffn.sigmoid.l2,6.418502731496074
ffn.sigmoid.l3,6.4426213828398335
ffn.sigmoid.l4,6.445085283704587
ffn.sigmoid.l5,6.452963289905065
ffn.sigmoid.l6,6.45845826891316
ffn.sigmoid.l7,6.448924914886764
ffn.sigmoid.l8,6.464861031573195
ffn.sigmoid.l9,6.4691711761594215
ffn.value.l0,6.594925814002831
ffn.value.l1,6.587489328093404
ffn.value.l10,6.574054400646567
ffn.value.l11,6.567131332372554
ffn.value.l2,6.580690461518728
ffn.value.l3,6.566420393022882
ffn.value.l4,6.575205052893472
ffn.value.l5,6.571164480171337
ffn.value.l6,6.5773398402898895
ffn.value.l7,6.5780138200622345
ffn.value.l8,6.562543561842246
ffn.value.l9,6.569751946495345
head,6.515432900398216
