Layer,Mean
att.key.l0,0.10110572949902773
att.key.l1,0.03953349009517718
att.key.l10,6.493988324304724
att.key.l11,6.5056239048285365
att.key.l2,0.046608688706947496
att.key.l3,6.505943642982081
att.key.l4,6.508325785272207
att.key.l5,6.49862065578576
att.key.l6,6.511031189504906
att.key.l7,6.519623060431393
att.key.l8,6.494049570953182
att.key.l9,6.509876292650959
att.receptance.l0,6.525903635432751
att.receptance.l1,6.556923283249362
att.receptance.l10,6.5232860469650165
att.receptance.l11,6.506567425845136
att.receptance.l2,6.510762665886173
att.receptance.l3,6.515418994558492
att.receptance.l4,6.498121017119188
att.receptance.l5,6.5093301124227
att.receptance.l6,6.504650256234727
att.receptance.l7,6.540395683719188
att.receptance.l8,6.52329257518054
att.receptance.l9,6.522416622973038
att.sigmoid.l0,6.473252953453087
att.sigmoid.l1,6.444837299647619
att.sigmoid.l10,6.466222722068363
att.sigmoid.l11,6.469684877260901
att.sigmoid.l2,6.43540195410153
att.sigmoid.l3,6.422259372965884
att.sigmoid.l4,6.417967636004993
att.sigmoid.l5,6.441609171942289
att.sigmoid.l6,6.4216447793475435
att.sigmoid.l7,6.465946168398328
att.sigmoid.l8,6.4272651859952825
att.sigmoid.l9,6.479350349458912
att.value.l0,6.521452994555866
att.value.l1,6.5280390126829
att.value.l10,6.576296674738487
att.value.l11,6.563173670560467
att.value.l2,6.53994501079055
att.value.l3,6.53805750767967
att.value.l4,6.523743033802249
att.value.l5,6.569247743863279
att.value.l6,6.555532230076335
att.value.l7,6.544928454347447
att.value.l8,6.5563142777314205
att.value.l9,6.584784215632553
block.ln0,6.555361572920964
block.ln1.l0,6.466478844051423
block.ln1.l1,6.553928442750051
block.ln1.l10,6.563207360782614
block.ln1.l11,6.564082218095314
block.ln1.l2,6.577134757143087
block.ln1.l3,6.574205433455149
block.ln1.l4,6.567269129565875
block.ln1.l5,6.568866092331122
block.ln1.l6,6.5566781728249275
block.ln1.l7,6.558022935732428
block.ln1.l8,6.563519297511799
block.ln1.l9,6.57601984475726
block.ln2.l0,6.567937836333508
block.ln2.l1,6.578491100000354
block.ln2.l10,6.588277621411154
block.ln2.l11,6.5378769119356654
block.ln2.l2,6.579144013762934
block.ln2.l3,6.599511186486483
block.ln2.l4,6.592663553019908
block.ln2.l5,6.588566095904501
block.ln2.l6,6.589367871944749
block.ln2.l7,6.587481778098741
block.ln2.l8,6.5908944888839205
block.ln2.l9,6.590309924194652
ffn.key.l0,6.5768910688053905
ffn.key.l1,6.562615130759037
ffn.key.l10,6.536729721321123
ffn.key.l11,6.5291850927149655
ffn.key.l2,6.5486393355204395
ffn.key.l3,6.552150481857761
ffn.key.l4,6.536941442984784
ffn.key.l5,6.541855477924581
ffn.key.l6,6.5323299325939415
ffn.key.l7,6.544070249857519
ffn.key.l8,6.553448671385737
ffn.key.l9,6.5418017124087395
ffn.receptance.l0,6.580023517207203
ffn.receptance.l1,6.566383000292267
ffn.receptance.l10,6.561876495480387
ffn.receptance.l11,6.55839041943083
ffn.receptance.l2,6.584217800695775
ffn.receptance.l3,6.5778799896359255
ffn.receptance.l4,6.585794073632196
ffn.receptance.l5,6.57061235810226
ffn.receptance.l6,6.575837624122397
ffn.receptance.l7,6.569605051154279
ffn.receptance.l8,6.573949745620347
ffn.receptance.l9,6.569302846870341
ffn.sigmoid.l0,6.481842753534806
ffn.sigmoid.l1,6.430121103385983
ffn.sigmoid.l10,6.450342732751074
ffn.sigmoid.l11,6.601930631699256
ffn.sigmoid.l2,6.415103521213177
ffn.sigmoid.l3,6.437278467170221
ffn.sigmoid.l4,6.441174806908818
ffn.sigmoid.l5,6.444769931994348
ffn.sigmoid.l6,6.4576416515791735
ffn.sigmoid.l7,6.450807250003613
ffn.sigmoid.l8,6.453996639323865
ffn.sigmoid.l9,6.457479666772176
ffn.value.l0,6.596347806712415
ffn.value.l1,6.594869500274073
ffn.value.l10,6.562374932593509
ffn.value.l11,6.560998676805796
ffn.value.l2,6.5817890935048124
ffn.value.l3,6.576790657471653
ffn.value.l4,6.567888037689628
ffn.value.l5,6.568093466968071
ffn.value.l6,6.579369833441566
ffn.value.l7,6.5777582378005315
ffn.value.l8,6.565969340755752
ffn.value.l9,6.567889634110944
head,6.504793318339678
