Layer,Mean
att.key.l0,9.167583590068952
att.key.l1,5.769506913121043
att.key.l10,11.6440672604883
att.key.l11,10.556815750730426
att.key.l2,9.905512367205075
att.key.l3,12.330842905266662
att.key.l4,11.126403128048542
att.key.l5,12.087630386814933
att.key.l6,13.018067346157151
att.key.l7,7.517460407609794
att.key.l8,13.666635239852496
att.key.l9,11.741622653403573
att.receptance.l0,6.79169805328449
att.receptance.l1,7.761434927016261
att.receptance.l10,7.607638829071546
att.receptance.l11,9.63207334306559
att.receptance.l2,10.62275518140198
att.receptance.l3,10.806571615574072
att.receptance.l4,12.37239657696638
att.receptance.l5,12.032900465858463
att.receptance.l6,11.589719845028968
att.receptance.l7,7.775517048971136
att.receptance.l8,7.347807598829041
att.receptance.l9,10.026542344138692
att.sigmoid.l0,19.668044062164512
att.sigmoid.l1,21.030000692683835
att.sigmoid.l10,17.177862416167933
att.sigmoid.l11,16.68901779824333
att.sigmoid.l2,20.854746116794477
att.sigmoid.l3,21.209704559414305
att.sigmoid.l4,21.1230886731743
att.sigmoid.l5,20.873334895778367
att.sigmoid.l6,21.036481084071223
att.sigmoid.l7,21.09027066828378
att.sigmoid.l8,21.584850120763416
att.sigmoid.l9,20.081584765753075
att.value.l0,5.812133384672875
att.value.l1,7.070703397757803
att.value.l10,4.454345492396818
att.value.l11,6.291877500983958
att.value.l2,7.022388580991063
att.value.l3,6.78371351827389
att.value.l4,6.934874560889739
att.value.l5,5.612052586184209
att.value.l6,5.592963430651998
att.value.l7,3.6362549537916573
att.value.l8,3.563988595855375
att.value.l9,3.631689087567454
block.ln0,2.9581671231299644
block.ln1.l0,5.342963182130787
block.ln1.l1,3.5320521029222043
block.ln1.l10,4.267285528115482
block.ln1.l11,3.749706278836372
block.ln1.l2,3.2430983509400115
block.ln1.l3,3.490997636950758
block.ln1.l4,3.2148045979439948
block.ln1.l5,3.1949792839378417
block.ln1.l6,3.3583332467008504
block.ln1.l7,3.517552401674336
block.ln1.l8,3.863257272128116
block.ln1.l9,3.521849360841562
block.ln2.l0,3.2947570275356406
block.ln2.l1,3.4383873052783107
block.ln2.l10,3.653273227142914
block.ln2.l11,5.489872501267275
block.ln2.l2,3.351234687096203
block.ln2.l3,3.2734529232420093
block.ln2.l4,3.1848144791509463
block.ln2.l5,3.242627341518694
block.ln2.l6,3.2882591524001326
block.ln2.l7,3.2704046966999654
block.ln2.l8,3.2923487238355964
block.ln2.l9,3.42464491413784
ffn.key.l0,3.4763763777647974
ffn.key.l1,5.147877111234365
ffn.key.l10,5.751127788378786
ffn.key.l11,6.687278267427572
ffn.key.l2,7.171802291989875
ffn.key.l3,6.905173220796915
ffn.key.l4,6.921277909506761
ffn.key.l5,7.502128383504185
ffn.key.l6,6.801859678635125
ffn.key.l7,6.914357654880733
ffn.key.l8,5.98047676712791
ffn.key.l9,5.5309891594280725
ffn.receptance.l0,3.1541596881309863
ffn.receptance.l1,2.92760948511787
ffn.receptance.l10,3.092028713654446
ffn.receptance.l11,3.1788139984761683
ffn.receptance.l2,3.0237056806044396
ffn.receptance.l3,3.4031082872202023
ffn.receptance.l4,3.5746739512635175
ffn.receptance.l5,3.3785671141221028
ffn.receptance.l6,3.8999677894432367
ffn.receptance.l7,3.1314587039138324
ffn.receptance.l8,3.048844820412392
ffn.receptance.l9,3.1038768170986075
ffn.sigmoid.l0,6.819583886289251
ffn.sigmoid.l1,7.055689277253057
ffn.sigmoid.l10,6.903131865775912
ffn.sigmoid.l11,4.115048836715794
ffn.sigmoid.l2,6.528195895805208
ffn.sigmoid.l3,6.626321884165198
ffn.sigmoid.l4,6.84242799558766
ffn.sigmoid.l5,6.896355802052573
ffn.sigmoid.l6,7.095199085329675
ffn.sigmoid.l7,7.013489477652866
ffn.sigmoid.l8,7.051983722647838
ffn.sigmoid.l9,6.969123464038694
ffn.value.l0,2.853688915908287
ffn.value.l1,2.8421327320124186
ffn.value.l10,2.7025320531212675
ffn.value.l11,2.574207343356791
ffn.value.l2,3.0507419505260174
ffn.value.l3,3.3508612437306486
ffn.value.l4,3.0667385286036573
ffn.value.l5,3.178543630902204
ffn.value.l6,3.138457394547577
ffn.value.l7,2.8392079271519215
ffn.value.l8,2.6475705098709974
ffn.value.l9,2.7443626052468275
head,6.938093564142431
