Layer,Mean
att.key.l0,7.233819945392258
att.key.l1,6.266892805209652
att.key.l10,12.981717954488978
att.key.l11,10.603982775232822
att.key.l2,10.32001511789474
att.key.l3,12.548011497692604
att.key.l4,11.470980231160846
att.key.l5,12.727146926622236
att.key.l6,12.94379667903854
att.key.l7,7.4667762664613155
att.key.l8,14.510498993999565
att.key.l9,12.26657097554701
att.receptance.l0,7.1165941840111335
att.receptance.l1,7.901384184972808
att.receptance.l10,8.101258974793483
att.receptance.l11,8.49932152654039
att.receptance.l2,10.589931628048358
att.receptance.l3,10.8569363269263
att.receptance.l4,12.261152335756545
att.receptance.l5,12.217584266978843
att.receptance.l6,11.657903397670685
att.receptance.l7,8.010724637024834
att.receptance.l8,7.903248119940812
att.receptance.l9,9.881590191035656
att.sigmoid.l0,19.762780345313914
att.sigmoid.l1,21.08207818239851
att.sigmoid.l10,17.258361956899986
att.sigmoid.l11,17.238679844216115
att.sigmoid.l2,20.914952891797217
att.sigmoid.l3,21.27416801244962
att.sigmoid.l4,21.182022676222143
att.sigmoid.l5,21.0113578200444
att.sigmoid.l6,21.15661612291745
att.sigmoid.l7,21.15380029204493
att.sigmoid.l8,21.615964429045956
att.sigmoid.l9,20.188540128089265
att.value.l0,6.119833193672134
att.value.l1,7.331199310067932
att.value.l10,4.371334733700889
att.value.l11,6.412391969575775
att.value.l2,7.134635638469317
att.value.l3,6.94032125380713
att.value.l4,7.073252692278545
att.value.l5,5.818577379355338
att.value.l6,5.728124144719259
att.value.l7,3.6226244665990444
att.value.l8,3.6689482493788272
att.value.l9,3.682166894779176
block.ln0,2.9524221966659714
block.ln1.l0,5.3404234379830315
block.ln1.l1,3.3580636340421988
block.ln1.l10,4.2413419755597
block.ln1.l11,3.8609223247535525
block.ln1.l2,3.2986431788572017
block.ln1.l3,3.3997400204478727
block.ln1.l4,3.177165565664995
block.ln1.l5,3.191006558734135
block.ln1.l6,3.359384950840983
block.ln1.l7,3.493806361966294
block.ln1.l8,3.8362324526064913
block.ln1.l9,3.540849007726214
block.ln2.l0,3.436475211294914
block.ln2.l1,3.4946394694295595
block.ln2.l10,3.880235432052014
block.ln2.l11,4.481522852712064
block.ln2.l2,3.3629052950282743
block.ln2.l3,3.3110256276544265
block.ln2.l4,3.1906967420248367
block.ln2.l5,3.233556876834024
block.ln2.l6,3.302272082287
block.ln2.l7,3.285837679357423
block.ln2.l8,3.3264360574655023
block.ln2.l9,3.6028540390958397
ffn.key.l0,3.464258623910108
ffn.key.l1,5.329366576189578
ffn.key.l10,5.771412427100103
ffn.key.l11,6.8862369902422405
ffn.key.l2,7.2619379433412306
ffn.key.l3,6.892092299512963
ffn.key.l4,7.1990571553903004
ffn.key.l5,7.581873803062753
ffn.key.l6,6.934124828705075
ffn.key.l7,7.007537591212653
ffn.key.l8,6.240254595560864
ffn.key.l9,5.645524544210622
ffn.receptance.l0,3.1711702890271685
ffn.receptance.l1,2.881320042019504
ffn.receptance.l10,3.0231028921823357
ffn.receptance.l11,3.1526760219367804
ffn.receptance.l2,3.0571993622773372
ffn.receptance.l3,3.3935403048866837
ffn.receptance.l4,3.540483134856211
ffn.receptance.l5,3.3562696066203834
ffn.receptance.l6,3.8470560933734
ffn.receptance.l7,3.1728377276205855
ffn.receptance.l8,3.0408172739961374
ffn.receptance.l9,3.067513963962173
ffn.sigmoid.l0,6.541029887084078
ffn.sigmoid.l1,6.795496671323615
ffn.sigmoid.l10,6.6746674766108915
ffn.sigmoid.l11,4.083321336338732
ffn.sigmoid.l2,6.326591363768333
ffn.sigmoid.l3,6.025350746233
ffn.sigmoid.l4,6.627613830745519
ffn.sigmoid.l5,6.691379908614971
ffn.sigmoid.l6,6.897256133674528
ffn.sigmoid.l7,6.794340119192279
ffn.sigmoid.l8,6.855398582809603
ffn.sigmoid.l9,6.778277765858511
ffn.value.l0,2.904359369143236
ffn.value.l1,2.8340671609612813
ffn.value.l10,2.654379702175803
ffn.value.l11,2.5215212284300916
ffn.value.l2,3.0670479477626444
ffn.value.l3,3.401869495892193
ffn.value.l4,3.113196760952768
ffn.value.l5,3.1342144224925623
ffn.value.l6,3.2174936204073745
ffn.value.l7,2.8346618177201868
ffn.value.l8,2.6275804942811583
ffn.value.l9,2.714078716821543
head,7.132998559460271
