Layer,Mean
att.key.l0,8.404876084473615
att.key.l1,6.296059139652509
att.key.l10,12.73348577660888
att.key.l11,10.568464691015567
att.key.l2,10.31374169824596
att.key.l3,13.08536291133075
att.key.l4,11.338854469200205
att.key.l5,12.878383948801446
att.key.l6,13.089512655853262
att.key.l7,7.795866420074085
att.key.l8,13.301147992101859
att.key.l9,11.820870462770108
att.receptance.l0,6.575365058439692
att.receptance.l1,7.485134403666257
att.receptance.l10,7.399973089455486
att.receptance.l11,9.194128810231508
att.receptance.l2,10.759785434853876
att.receptance.l3,9.608598564215955
att.receptance.l4,12.307316453867415
att.receptance.l5,12.402286484251125
att.receptance.l6,11.877495668987635
att.receptance.l7,8.042395265427501
att.receptance.l8,7.966407832233908
att.receptance.l9,10.12755908071791
att.sigmoid.l0,19.685769560193183
att.sigmoid.l1,21.02012316397746
att.sigmoid.l10,17.62985988693654
att.sigmoid.l11,17.64846729788029
att.sigmoid.l2,20.861527823469764
att.sigmoid.l3,21.249094028373012
att.sigmoid.l4,21.156887376422617
att.sigmoid.l5,20.837420906475895
att.sigmoid.l6,21.075436659071176
att.sigmoid.l7,20.999109728914185
att.sigmoid.l8,21.69612182733703
att.sigmoid.l9,20.246179594446794
att.value.l0,5.9513024079350645
att.value.l1,6.679313815196209
att.value.l10,4.273590997793592
att.value.l11,6.2803588659984815
att.value.l2,6.649506937348733
att.value.l3,6.855800122229522
att.value.l4,6.757255855129886
att.value.l5,5.704914071153516
att.value.l6,5.269145084561209
att.value.l7,3.4971587389086243
att.value.l8,3.4558060383899734
att.value.l9,3.666751064597024
block.ln0,2.9184040245351244
block.ln1.l0,5.238458725257247
block.ln1.l1,3.213777521361916
block.ln1.l10,4.073228726997743
block.ln1.l11,3.8224775115557335
block.ln1.l2,3.0945557260421905
block.ln1.l3,3.3383813747764477
block.ln1.l4,3.11812350476282
block.ln1.l5,3.183118484432372
block.ln1.l6,3.370079286839726
block.ln1.l7,3.4182448401755843
block.ln1.l8,3.915680169414875
block.ln1.l9,3.498904618111487
block.ln2.l0,3.325991638072183
block.ln2.l1,3.4015334687684344
block.ln2.l10,3.840313475941468
block.ln2.l11,5.192425143648429
block.ln2.l2,3.2576179750606933
block.ln2.l3,3.1655227951007965
block.ln2.l4,3.161210765361272
block.ln2.l5,3.199023965098635
block.ln2.l6,3.1592830874615485
block.ln2.l7,3.1756017023399647
block.ln2.l8,3.196132582786391
block.ln2.l9,3.46063378572286
ffn.key.l0,3.36073852263504
ffn.key.l1,4.967222994060329
ffn.key.l10,6.046840689182417
ffn.key.l11,6.440171532811421
ffn.key.l2,6.821601713169286
ffn.key.l3,7.059622799692773
ffn.key.l4,6.9832304438755575
ffn.key.l5,7.169870193067308
ffn.key.l6,7.147062702723271
ffn.key.l7,6.681726344885644
ffn.key.l8,5.836923759552177
ffn.key.l9,5.3319226415797765
ffn.receptance.l0,3.048860332091395
ffn.receptance.l1,2.814167540743881
ffn.receptance.l10,3.0325271251568204
ffn.receptance.l11,3.0976931125270246
ffn.receptance.l2,3.0242729397302037
ffn.receptance.l3,3.3274012657744323
ffn.receptance.l4,3.368343525933766
ffn.receptance.l5,3.2054187969392696
ffn.receptance.l6,3.664098076353466
ffn.receptance.l7,2.969708473050213
ffn.receptance.l8,2.9983850622988375
ffn.receptance.l9,3.03108887027773
ffn.sigmoid.l0,6.59084924887869
ffn.sigmoid.l1,6.992328028389984
ffn.sigmoid.l10,6.731479223490748
ffn.sigmoid.l11,4.347400561624095
ffn.sigmoid.l2,6.403195285015543
ffn.sigmoid.l3,6.461261933821094
ffn.sigmoid.l4,6.720806900187684
ffn.sigmoid.l5,6.730718019077604
ffn.sigmoid.l6,6.953868341770275
ffn.sigmoid.l7,6.8138866576051775
ffn.sigmoid.l8,6.928313511529494
ffn.sigmoid.l9,6.867411694956492
ffn.value.l0,2.792859142024905
ffn.value.l1,2.7691233398324764
ffn.value.l10,2.667052704833845
ffn.value.l11,2.4995071394083626
ffn.value.l2,2.9219313791140396
ffn.value.l3,3.2087352621600265
ffn.value.l4,2.919376659778743
ffn.value.l5,3.051055804445788
ffn.value.l6,3.063961046560117
ffn.value.l7,2.744145533311319
ffn.value.l8,2.6062629068395755
ffn.value.l9,2.717793538405624
head,6.998520828254946
