Layer,Mean
att.key.l0,8.576212695651234
att.key.l1,5.938392926165747
att.key.l10,12.589764967755952
att.key.l11,10.087084152720884
att.key.l2,9.928317740417894
att.key.l3,12.597457592739675
att.key.l4,10.979922504793315
att.key.l5,12.82485290511236
att.key.l6,13.137334736225862
att.key.l7,7.767855086708238
att.key.l8,13.22009104953108
att.key.l9,11.755170217925983
att.receptance.l0,6.509616277454895
att.receptance.l1,6.880351157164517
att.receptance.l10,6.912385190103531
att.receptance.l11,8.786280040041452
att.receptance.l2,10.675659327025025
att.receptance.l3,10.832763507821152
att.receptance.l4,12.257893949789477
att.receptance.l5,12.324646182012845
att.receptance.l6,11.696433945223808
att.receptance.l7,7.681782787446261
att.receptance.l8,7.887382828470488
att.receptance.l9,9.849417580496866
att.sigmoid.l0,19.66283007193429
att.sigmoid.l1,20.96791066705958
att.sigmoid.l10,17.69369953262297
att.sigmoid.l11,17.640958311348573
att.sigmoid.l2,20.846280324312485
att.sigmoid.l3,21.206615523850143
att.sigmoid.l4,21.08248436761123
att.sigmoid.l5,20.788545265174452
att.sigmoid.l6,20.991624791247816
att.sigmoid.l7,21.046956851944906
att.sigmoid.l8,21.629704312671965
att.sigmoid.l9,20.129625603683834
att.value.l0,5.917529280403409
att.value.l1,6.713573393150087
att.value.l10,4.223241048664084
att.value.l11,6.06045002776545
att.value.l2,6.638900663270446
att.value.l3,6.661187660248588
att.value.l4,6.576916144913031
att.value.l5,5.359885320726837
att.value.l6,5.194373409279692
att.value.l7,3.4381270327694247
att.value.l8,3.450412568477915
att.value.l9,3.607997364171666
block.ln0,2.951632533590513
block.ln1.l0,5.3653910733488726
block.ln1.l1,3.3543980506295754
block.ln1.l10,4.1262846109188835
block.ln1.l11,3.9276177784274275
block.ln1.l2,3.140348005485684
block.ln1.l3,3.3780149024036366
block.ln1.l4,3.175019021483898
block.ln1.l5,3.216012025349521
block.ln1.l6,3.394194216799696
block.ln1.l7,3.4592843135791145
block.ln1.l8,3.827099672014042
block.ln1.l9,3.3968158795883654
block.ln2.l0,3.285991062272803
block.ln2.l1,3.394600873342465
block.ln2.l10,3.8187049864359817
block.ln2.l11,5.2738995952445755
block.ln2.l2,3.217464336776737
block.ln2.l3,3.176905363312559
block.ln2.l4,3.154791851767072
block.ln2.l5,3.1484865791412053
block.ln2.l6,3.150011461858282
block.ln2.l7,3.1456369570887093
block.ln2.l8,3.1810623087069345
block.ln2.l9,3.436064845759416
ffn.key.l0,3.3955654423480475
ffn.key.l1,4.945859297735583
ffn.key.l10,6.047834819849729
ffn.key.l11,6.566809261973508
ffn.key.l2,6.724339827877528
ffn.key.l3,6.810567436305883
ffn.key.l4,6.788954769978851
ffn.key.l5,7.100116967460276
ffn.key.l6,7.052032871554321
ffn.key.l7,6.659382613987271
ffn.key.l8,5.65749516352741
ffn.key.l9,5.280289395144152
ffn.receptance.l0,2.978083173576946
ffn.receptance.l1,2.8135872140441367
ffn.receptance.l10,3.092769823334334
ffn.receptance.l11,3.1181390307375523
ffn.receptance.l2,2.9946241233750324
ffn.receptance.l3,3.2907352021609615
ffn.receptance.l4,3.428331780081223
ffn.receptance.l5,3.2107977650684925
ffn.receptance.l6,3.872883538384215
ffn.receptance.l7,2.9446831635471864
ffn.receptance.l8,2.971111467779228
ffn.receptance.l9,3.0281754809771333
ffn.sigmoid.l0,6.846486161691332
ffn.sigmoid.l1,7.07642683141124
ffn.sigmoid.l10,6.804869950996618
ffn.sigmoid.l11,4.628885371835564
ffn.sigmoid.l2,6.592290334875525
ffn.sigmoid.l3,6.624662481300063
ffn.sigmoid.l4,6.897515411054479
ffn.sigmoid.l5,6.854708740447802
ffn.sigmoid.l6,7.095946079543324
ffn.sigmoid.l7,6.9073237179516696
ffn.sigmoid.l8,7.019011627604336
ffn.sigmoid.l9,6.94813910781621
ffn.value.l0,2.7999684742084328
ffn.value.l1,2.7547945798914233
ffn.value.l10,2.6541813747712624
ffn.value.l11,2.4954722700284226
ffn.value.l2,2.90672787942319
ffn.value.l3,3.224359094210075
ffn.value.l4,2.9751898526215768
ffn.value.l5,2.973984838686891
ffn.value.l6,2.9990597151928924
ffn.value.l7,2.7365474491826838
ffn.value.l8,2.614839283137457
ffn.value.l9,2.7059389682111745
head,6.873711256615428
