Layer,Mean
att.key.l0,29.386471032966853
att.key.l1,29.356291419108885
att.key.l10,29.354175391968386
att.key.l11,29.367132218720325
att.key.l2,29.362015759117284
att.key.l3,29.36378544912375
att.key.l4,29.362490177137783
att.key.l5,29.37412205024208
att.key.l6,29.36673958261153
att.key.l7,29.35391186842863
att.key.l8,29.3613363706861
att.key.l9,29.36333026108676
att.receptance.l0,29.358555266961744
att.receptance.l1,29.353770484354346
att.receptance.l10,29.35800449018072
att.receptance.l11,29.368654706681173
att.receptance.l2,29.35858987431439
att.receptance.l3,29.361369672862192
att.receptance.l4,29.361131240972885
att.receptance.l5,29.357987622277932
att.receptance.l6,29.36105683291436
att.receptance.l7,29.34479973596018
att.receptance.l8,29.346060223414707
att.receptance.l9,29.354241528164152
att.sigmoid.l0,29.386975475720458
att.sigmoid.l1,29.39809235513322
att.sigmoid.l10,29.385484327279467
att.sigmoid.l11,29.376216487622226
att.sigmoid.l2,29.399179761151156
att.sigmoid.l3,29.407415747636502
att.sigmoid.l4,29.40842527569515
att.sigmoid.l5,29.392295026827636
att.sigmoid.l6,29.409346542922464
att.sigmoid.l7,29.38529797206445
att.sigmoid.l8,29.40058062082943
att.sigmoid.l9,29.372461259192093
att.value.l0,29.356175585306257
att.value.l1,29.34996881944758
att.value.l10,29.32556199213573
att.value.l11,29.33276649715323
att.value.l2,29.34771881251503
att.value.l3,29.350358644024926
att.value.l4,29.354264254380823
att.value.l5,29.334596127538827
att.value.l6,29.338068816331468
att.value.l7,29.341508801844473
att.value.l8,29.33058680224556
att.value.l9,29.328352721014486
block.ln0,29.338353289401862
block.ln1.l0,29.379326378003856
block.ln1.l1,29.33234455827918
block.ln1.l10,29.335816889184873
block.ln1.l11,29.33137596872029
block.ln1.l2,29.329895172767834
block.ln1.l3,29.33257585473091
block.ln1.l4,29.329069931836045
block.ln1.l5,29.329432261914224
block.ln1.l6,29.33654636245859
block.ln1.l7,29.3325080174603
block.ln1.l8,29.33809617740638
block.ln1.l9,29.331479171366244
block.ln2.l0,29.326232366030553
block.ln2.l1,29.32471880098339
block.ln2.l10,29.325224210391127
block.ln2.l11,29.363278531961004
block.ln2.l2,29.32428253167195
block.ln2.l3,29.31876785856329
block.ln2.l4,29.32403367821374
block.ln2.l5,29.319275810046094
block.ln2.l6,29.32471952296517
block.ln2.l7,29.320084742224992
block.ln2.l8,29.32224244724468
block.ln2.l9,29.324137317828306
ffn.key.l0,29.32571756169678
ffn.key.l1,29.336373828426463
ffn.key.l10,29.344495683682577
ffn.key.l11,29.349821494491152
ffn.key.l2,29.342139725548932
ffn.key.l3,29.344783415314215
ffn.key.l4,29.345000952960657
ffn.key.l5,29.34796590841262
ffn.key.l6,29.348453723018185
ffn.key.l7,29.345076872254566
ffn.key.l8,29.341483108945265
ffn.key.l9,29.34374809379914
ffn.receptance.l0,29.32793380983672
ffn.receptance.l1,29.3299607637941
ffn.receptance.l10,29.3349131848115
ffn.receptance.l11,29.33731865260312
ffn.receptance.l2,29.329230921815867
ffn.receptance.l3,29.326140307825366
ffn.receptance.l4,29.32698626617037
ffn.receptance.l5,29.331663495076842
ffn.receptance.l6,29.328295373098257
ffn.receptance.l7,29.323177002947727
ffn.receptance.l8,29.330397460625296
ffn.receptance.l9,29.32801147950306
ffn.sigmoid.l0,29.374005604027275
ffn.sigmoid.l1,29.402988856146692
ffn.sigmoid.l10,29.392309294991247
ffn.sigmoid.l11,29.323935972831887
ffn.sigmoid.l2,29.41288039232695
ffn.sigmoid.l3,29.398286605471696
ffn.sigmoid.l4,29.39843049645275
ffn.sigmoid.l5,29.39291494342849
ffn.sigmoid.l6,29.387913501296236
ffn.sigmoid.l7,29.391514923265408
ffn.sigmoid.l8,29.390448141682025
ffn.sigmoid.l9,29.38760741302076
ffn.value.l0,29.316134783814046
ffn.value.l1,29.320159364583557
ffn.value.l10,29.33663815560939
ffn.value.l11,29.333865913326733
ffn.value.l2,29.325249743370737
ffn.value.l3,29.33660513090914
ffn.value.l4,29.328094654860923
ffn.value.l5,29.329528210935347
ffn.value.l6,29.32789510753074
ffn.value.l7,29.32278139256375
ffn.value.l8,29.33394182914027
ffn.value.l9,29.325676093065756
head,29.366848923180278
quant,29.3322583877366
