Layer,Mean
att.key.l0,29.33576105195699
att.key.l1,29.359163992114393
att.key.l10,29.369147758414044
att.key.l11,29.368016333984087
att.key.l2,29.359666209258723
att.key.l3,29.365888303467425
att.key.l4,29.36164928751568
att.key.l5,29.36968311580662
att.key.l6,29.35912656538712
att.key.l7,29.35227124389576
att.key.l8,29.36895653788524
att.key.l9,29.366157377474668
att.receptance.l0,29.367229114682004
att.receptance.l1,29.35437645247698
att.receptance.l10,29.364673085289052
att.receptance.l11,29.346428742735117
att.receptance.l2,29.358031390857786
att.receptance.l3,29.358547883442004
att.receptance.l4,29.36351405923936
att.receptance.l5,29.355091457487077
att.receptance.l6,29.36415578458269
att.receptance.l7,29.35141827318456
att.receptance.l8,29.35152309560416
att.receptance.l9,29.357022652213814
att.sigmoid.l0,29.387293427781724
att.sigmoid.l1,29.397571043424534
att.sigmoid.l10,29.385215682906516
att.sigmoid.l11,29.388746728587304
att.sigmoid.l2,29.401232626312993
att.sigmoid.l3,29.407335324540714
att.sigmoid.l4,29.40960258276284
att.sigmoid.l5,29.396780700195592
att.sigmoid.l6,29.411945414220572
att.sigmoid.l7,29.38743263478293
att.sigmoid.l8,29.403095916994346
att.sigmoid.l9,29.379651217248064
att.value.l0,29.355685958013094
att.value.l1,29.355126161856543
att.value.l10,29.327398241673453
att.value.l11,29.333492762736324
att.value.l2,29.3484844344883
att.value.l3,29.346385753524697
att.value.l4,29.352112988885434
att.value.l5,29.338010128756707
att.value.l6,29.338551127714084
att.value.l7,29.34188052598107
att.value.l8,29.33183566345585
att.value.l9,29.325960437976473
block.ln0,29.338095012477606
block.ln1.l0,29.382379897564146
block.ln1.l1,29.325710341876544
block.ln1.l10,29.33247742173616
block.ln1.l11,29.33333141242052
block.ln1.l2,29.327648990122356
block.ln1.l3,29.3348523865773
block.ln1.l4,29.32746711218381
block.ln1.l5,29.327263007341813
block.ln1.l6,29.332170492401563
block.ln1.l7,29.33268771539498
block.ln1.l8,29.333410699411477
block.ln1.l9,29.330140274387333
block.ln2.l0,29.3292649689383
block.ln2.l1,29.32897932149029
block.ln2.l10,29.325774021116178
block.ln2.l11,29.32479061837314
block.ln2.l2,29.326398484628857
block.ln2.l3,29.321112714381826
block.ln2.l4,29.321620989734274
block.ln2.l5,29.324828890998706
block.ln2.l6,29.32577929463139
block.ln2.l7,29.321253665175675
block.ln2.l8,29.318835952808154
block.ln2.l9,29.322758437045223
ffn.key.l0,29.329094964634834
ffn.key.l1,29.334000680684614
ffn.key.l10,29.342752509343907
ffn.key.l11,29.349796013336597
ffn.key.l2,29.344629285373532
ffn.key.l3,29.34339236395557
ffn.key.l4,29.34602734129795
ffn.key.l5,29.347188723677416
ffn.key.l6,29.348299613118
ffn.key.l7,29.345377880092503
ffn.key.l8,29.343722085755704
ffn.key.l9,29.34127812244252
ffn.receptance.l0,29.327091454845444
ffn.receptance.l1,29.32912959210007
ffn.receptance.l10,29.333738063595153
ffn.receptance.l11,29.335086580830406
ffn.receptance.l2,29.329631368746444
ffn.receptance.l3,29.32932612153009
ffn.receptance.l4,29.328537038746703
ffn.receptance.l5,29.331897788082
ffn.receptance.l6,29.32676669155209
ffn.receptance.l7,29.32948491226108
ffn.receptance.l8,29.327574158361813
ffn.receptance.l9,29.331668444722407
ffn.sigmoid.l0,29.370889968268255
ffn.sigmoid.l1,29.405336788680632
ffn.sigmoid.l10,29.38746417330836
ffn.sigmoid.l11,29.322618679160176
ffn.sigmoid.l2,29.41132771143445
ffn.sigmoid.l3,29.388732564942558
ffn.sigmoid.l4,29.398330302258103
ffn.sigmoid.l5,29.397916129955206
ffn.sigmoid.l6,29.386757566308848
ffn.sigmoid.l7,29.392931489910666
ffn.sigmoid.l8,29.38942762238935
ffn.sigmoid.l9,29.39047760188501
ffn.value.l0,29.31499859110159
ffn.value.l1,29.319392580130543
ffn.value.l10,29.33012090081692
ffn.value.l11,29.3342425188448
ffn.value.l2,29.326046680600882
ffn.value.l3,29.33120115216707
ffn.value.l4,29.32679053296461
ffn.value.l5,29.32916000646114
ffn.value.l6,29.326886327581263
ffn.value.l7,29.325840417815556
ffn.value.l8,29.33361398315313
ffn.value.l9,29.327896071137676
head,29.36617361076452
quant,29.32156129653327
