Layer,Mean
att.key.l0,29.391545961936533
att.key.l1,29.358115772449924
att.key.l10,29.369095773682744
att.key.l11,29.369783122659825
att.key.l2,29.367781782924357
att.key.l3,29.368127082267865
att.key.l4,29.36323182427427
att.key.l5,29.368077228521305
att.key.l6,29.364968132773864
att.key.l7,29.356639403034055
att.key.l8,29.368207111565898
att.key.l9,29.366259700205024
att.receptance.l0,29.359680704977038
att.receptance.l1,29.35162048262792
att.receptance.l10,29.351513808666315
att.receptance.l11,29.36393118607636
att.receptance.l2,29.35706870199861
att.receptance.l3,29.332395365103498
att.receptance.l4,29.369424868289993
att.receptance.l5,29.36431937055477
att.receptance.l6,29.36240799234545
att.receptance.l7,29.347426793806815
att.receptance.l8,29.34968020485377
att.receptance.l9,29.349674344804658
att.sigmoid.l0,29.383253264756522
att.sigmoid.l1,29.39570803185322
att.sigmoid.l10,29.38117304579782
att.sigmoid.l11,29.37615926297775
att.sigmoid.l2,29.400337524030892
att.sigmoid.l3,29.409049323818426
att.sigmoid.l4,29.410148632726486
att.sigmoid.l5,29.392099472112648
att.sigmoid.l6,29.408365457352435
att.sigmoid.l7,29.37779038955557
att.sigmoid.l8,29.40185932195583
att.sigmoid.l9,29.37223955656688
att.value.l0,29.353773753805353
att.value.l1,29.348205933485655
att.value.l10,29.330963170748145
att.value.l11,29.333067381912826
att.value.l2,29.34914997010129
att.value.l3,29.35084827484745
att.value.l4,29.35621359503808
att.value.l5,29.33697646291199
att.value.l6,29.33727472716977
att.value.l7,29.346248732403257
att.value.l8,29.336365484167914
att.value.l9,29.325396271649556
block.ln0,29.340732629311432
block.ln1.l0,29.383792831448048
block.ln1.l1,29.330794477563202
block.ln1.l10,29.335388697047637
block.ln1.l11,29.33434007927104
block.ln1.l2,29.324432140195523
block.ln1.l3,29.325994077537924
block.ln1.l4,29.3269785731279
block.ln1.l5,29.331893388504
block.ln1.l6,29.335420613185338
block.ln1.l7,29.337977789997314
block.ln1.l8,29.338126193655324
block.ln1.l9,29.331104183172794
block.ln2.l0,29.33170459695131
block.ln2.l1,29.327216159597523
block.ln2.l10,29.32971788838203
block.ln2.l11,29.35597373399681
block.ln2.l2,29.323206184115932
block.ln2.l3,29.322243032698257
block.ln2.l4,29.320324870769685
block.ln2.l5,29.320624538052034
block.ln2.l6,29.323791495375826
block.ln2.l7,29.3280887122008
block.ln2.l8,29.325344800578378
block.ln2.l9,29.322619013906273
ffn.key.l0,29.32884191888894
ffn.key.l1,29.338894386556404
ffn.key.l10,29.34757733324608
ffn.key.l11,29.351949384950263
ffn.key.l2,29.34381367161619
ffn.key.l3,29.3432394973388
ffn.key.l4,29.3489216072314
ffn.key.l5,29.35038988593638
ffn.key.l6,29.349891599183067
ffn.key.l7,29.346868769017636
ffn.key.l8,29.34236887771026
ffn.key.l9,29.344214700775325
ffn.receptance.l0,29.327396550106357
ffn.receptance.l1,29.33304645754667
ffn.receptance.l10,29.33407622241279
ffn.receptance.l11,29.34489097306502
ffn.receptance.l2,29.329616656337958
ffn.receptance.l3,29.32988577273103
ffn.receptance.l4,29.325243357763622
ffn.receptance.l5,29.33469738546117
ffn.receptance.l6,29.334767938089772
ffn.receptance.l7,29.332590785257178
ffn.receptance.l8,29.32824364397251
ffn.receptance.l9,29.332627585225367
ffn.sigmoid.l0,29.38320233836629
ffn.sigmoid.l1,29.406635990339016
ffn.sigmoid.l10,29.391860195650324
ffn.sigmoid.l11,29.313248151770456
ffn.sigmoid.l2,29.411876493758925
ffn.sigmoid.l3,29.398715894273597
ffn.sigmoid.l4,29.398228235133285
ffn.sigmoid.l5,29.393711443690034
ffn.sigmoid.l6,29.389140538979778
ffn.sigmoid.l7,29.39522017219059
ffn.sigmoid.l8,29.387941811631165
ffn.sigmoid.l9,29.38479020190236
ffn.value.l0,29.32238152510837
ffn.value.l1,29.3239040920802
ffn.value.l10,29.334212110462115
ffn.value.l11,29.33367755874265
ffn.value.l2,29.32840683428149
ffn.value.l3,29.333794787201327
ffn.value.l4,29.329038197061408
ffn.value.l5,29.333752594640583
ffn.value.l6,29.333466346311756
ffn.value.l7,29.330195930736465
ffn.value.l8,29.338345182820017
ffn.value.l9,29.335534175945682
head,29.363651583605563
quant,29.33206662658908
