Layer,Mean
att.key.l0,29.39847896152165
att.key.l1,29.356666776006847
att.key.l10,29.37299531985214
att.key.l11,29.367731373131846
att.key.l2,29.360510960289133
att.key.l3,29.368087986747828
att.key.l4,29.36576877700786
att.key.l5,29.37097236491159
att.key.l6,29.364874246473377
att.key.l7,29.359844192197073
att.key.l8,29.373405535524032
att.key.l9,29.365141189495887
att.receptance.l0,29.356856728441084
att.receptance.l1,29.341136115181268
att.receptance.l10,29.35849376909468
att.receptance.l11,29.366113169477178
att.receptance.l2,29.364293246202084
att.receptance.l3,29.362330066577467
att.receptance.l4,29.37095405859822
att.receptance.l5,29.364622307872352
att.receptance.l6,29.36844228448665
att.receptance.l7,29.34786381205863
att.receptance.l8,29.35740270913017
att.receptance.l9,29.35878134028609
att.sigmoid.l0,29.383314313595378
att.sigmoid.l1,29.39838387859508
att.sigmoid.l10,29.387968101646067
att.sigmoid.l11,29.385240043920078
att.sigmoid.l2,29.403216190339425
att.sigmoid.l3,29.40981604362267
att.sigmoid.l4,29.41167172493517
att.sigmoid.l5,29.399764701287168
att.sigmoid.l6,29.410370532815637
att.sigmoid.l7,29.387735855074098
att.sigmoid.l8,29.407399929945942
att.sigmoid.l9,29.38076341710404
att.value.l0,29.35924779776069
att.value.l1,29.35575688353046
att.value.l10,29.33100258350454
att.value.l11,29.338600413516815
att.value.l2,29.349313430362727
att.value.l3,29.350455625630886
att.value.l4,29.357908305879352
att.value.l5,29.334832180375184
att.value.l6,29.341618651681483
att.value.l7,29.347225991878144
att.value.l8,29.339949735344856
att.value.l9,29.32690801105045
block.ln0,29.342454261809976
block.ln1.l0,29.38728114550175
block.ln1.l1,29.341390100728415
block.ln1.l10,29.33823816604965
block.ln1.l11,29.33727546702782
block.ln1.l2,29.330707226496994
block.ln1.l3,29.331930584135293
block.ln1.l4,29.33439555425711
block.ln1.l5,29.335064344844625
block.ln1.l6,29.340591746781687
block.ln1.l7,29.340217195556846
block.ln1.l8,29.338230531822422
block.ln1.l9,29.331446191500863
block.ln2.l0,29.33498630294442
block.ln2.l1,29.329044770009972
block.ln2.l10,29.325489247605386
block.ln2.l11,29.350496048197783
block.ln2.l2,29.328827097729476
block.ln2.l3,29.318482318235855
block.ln2.l4,29.323854889602288
block.ln2.l5,29.324066221110527
block.ln2.l6,29.324292436941462
block.ln2.l7,29.325711387727974
block.ln2.l8,29.324690618808134
block.ln2.l9,29.323877242216383
ffn.key.l0,29.330633946949884
ffn.key.l1,29.33870741635936
ffn.key.l10,29.350729453573717
ffn.key.l11,29.35530231218154
ffn.key.l2,29.34444551682655
ffn.key.l3,29.344469388876018
ffn.key.l4,29.3506250753109
ffn.key.l5,29.34892332408405
ffn.key.l6,29.353360707473215
ffn.key.l7,29.347186008820515
ffn.key.l8,29.342295165648892
ffn.key.l9,29.347783320997625
ffn.receptance.l0,29.33043367513991
ffn.receptance.l1,29.33645871328025
ffn.receptance.l10,29.33821159522061
ffn.receptance.l11,29.340377121808974
ffn.receptance.l2,29.326837277058786
ffn.receptance.l3,29.331321742354323
ffn.receptance.l4,29.3261085023376
ffn.receptance.l5,29.334632697779742
ffn.receptance.l6,29.330414120206438
ffn.receptance.l7,29.333621646787975
ffn.receptance.l8,29.331498027747188
ffn.receptance.l9,29.33455763845257
ffn.sigmoid.l0,29.37929897209408
ffn.sigmoid.l1,29.40618237832113
ffn.sigmoid.l10,29.39546789012765
ffn.sigmoid.l11,29.31741718446503
ffn.sigmoid.l2,29.413777086783142
ffn.sigmoid.l3,29.40178295186476
ffn.sigmoid.l4,29.4002209900128
ffn.sigmoid.l5,29.398428736621554
ffn.sigmoid.l6,29.391927591342647
ffn.sigmoid.l7,29.395632840267833
ffn.sigmoid.l8,29.393162405760005
ffn.sigmoid.l9,29.39146972225336
ffn.value.l0,29.321232418675095
ffn.value.l1,29.32036962285636
ffn.value.l10,29.3394517728229
ffn.value.l11,29.338384577700143
ffn.value.l2,29.328980819737552
ffn.value.l3,29.331501922092475
ffn.value.l4,29.33532416730003
ffn.value.l5,29.33475450717948
ffn.value.l6,29.330284563480518
ffn.value.l7,29.330478025643988
ffn.value.l8,29.33725752344056
ffn.value.l9,29.33535105954968
head,29.367970511631853
quant,29.336797457551466
