Layer,Mean
att.key.l0,1.7956648107670687
att.key.l1,2.0420090898711885
att.key.l10,1.5351605688010945
att.key.l11,1.6255505491901214
att.key.l2,1.8806345845644215
att.key.l3,1.7122364836168886
att.key.l4,1.758568830850858
att.key.l5,1.7207458530114508
att.key.l6,1.5926719163356704
att.key.l7,1.8243286986112122
att.key.l8,1.492009956958767
att.key.l9,1.5545783029354687
att.receptance.l0,1.797941179035848
att.receptance.l1,1.8267095246241973
att.receptance.l10,1.725624464612906
att.receptance.l11,1.7301083590430906
att.receptance.l2,1.761252345117608
att.receptance.l3,1.6836953460632607
att.receptance.l4,1.6381978796015977
att.receptance.l5,1.6649911707173082
att.receptance.l6,1.6348975802998122
att.receptance.l7,1.8670498172265997
att.receptance.l8,1.8008670335294525
att.receptance.l9,1.7067771581278945
att.sigmoid.l0,0.6676490959728444
att.sigmoid.l1,0.29429835641235963
att.sigmoid.l10,1.0361741129955988
att.sigmoid.l11,1.1110822737620274
att.sigmoid.l2,0.38493047983780243
att.sigmoid.l3,0.2387781746873354
att.sigmoid.l4,0.32048804410471177
att.sigmoid.l5,0.4328607391181933
att.sigmoid.l6,0.33099925542118674
att.sigmoid.l7,0.3683865611660466
att.sigmoid.l8,0.13942931883062973
att.sigmoid.l9,0.6005587129468295
att.value.l0,1.7888935198058853
att.value.l1,1.5995417242541847
att.value.l10,1.914881910682465
att.value.l11,1.8198717780646607
att.value.l2,1.624693312595977
att.value.l3,1.6348735859986743
att.value.l4,1.7166919026083318
att.value.l5,1.7963761375524363
att.value.l6,1.7881331389708208
att.value.l7,2.160748832172878
att.value.l8,2.155338079549655
att.value.l9,2.030268828706183
block.ln0,2.1428028568016457
block.ln1.l0,1.766274670719363
block.ln1.l1,1.8961039512011169
block.ln1.l10,1.9943095865808995
block.ln1.l11,2.076506340921096
block.ln1.l2,1.9574328969061465
block.ln1.l3,1.9379364672036237
block.ln1.l4,2.0239897124567747
block.ln1.l5,2.007984761391985
block.ln1.l6,1.9666957399682221
block.ln1.l7,2.028168414849754
block.ln1.l8,1.9918978477061806
block.ln1.l9,2.0245996506949067
block.ln2.l0,2.0818759294927562
block.ln2.l1,2.050678740945741
block.ln2.l10,2.1339759868353867
block.ln2.l11,1.6780877049351044
block.ln2.l2,2.118389774769328
block.ln2.l3,2.128630533216802
block.ln2.l4,2.137484601792949
block.ln2.l5,2.144283550773786
block.ln2.l6,2.145489316224177
block.ln2.l7,2.141242255824143
block.ln2.l8,2.150369578625193
block.ln2.l9,2.1367322239518853
ffn.key.l0,2.0361827830465296
ffn.key.l1,1.898465217552225
ffn.key.l10,1.9178684043364218
ffn.key.l11,1.9064291757233722
ffn.key.l2,1.8354860010262295
ffn.key.l3,1.8438297315640753
ffn.key.l4,1.825265455867676
ffn.key.l5,1.8124560559340666
ffn.key.l6,1.8720423879688453
ffn.key.l7,1.8392808504769367
ffn.key.l8,1.8641027658994085
ffn.key.l9,1.895417709855059
ffn.receptance.l0,2.150436716559703
ffn.receptance.l1,2.1663323716842284
ffn.receptance.l10,2.081356416902128
ffn.receptance.l11,2.0261617493856625
ffn.receptance.l2,2.196371669482662
ffn.receptance.l3,2.160257468838564
ffn.receptance.l4,2.183652158653193
ffn.receptance.l5,2.188942202518103
ffn.receptance.l6,2.1339785927629955
ffn.receptance.l7,2.177926007196059
ffn.receptance.l8,2.161819823528307
ffn.receptance.l9,2.133261893071326
ffn.sigmoid.l0,2.1261624047322614
ffn.sigmoid.l1,2.3788036632003986
ffn.sigmoid.l10,2.313840855235584
ffn.sigmoid.l11,2.143171202158134
ffn.sigmoid.l2,2.4647707573458963
ffn.sigmoid.l3,2.382888280307045
ffn.sigmoid.l4,2.3754049957739127
ffn.sigmoid.l5,2.33839682385334
ffn.sigmoid.l6,2.2555571662164753
ffn.sigmoid.l7,2.278028354246521
ffn.sigmoid.l8,2.2780277739354866
ffn.sigmoid.l9,2.279680227191894
ffn.value.l0,2.1946860178492824
ffn.value.l1,2.2365829669006487
ffn.value.l10,2.2034785842372933
ffn.value.l11,2.325168054327596
ffn.value.l2,2.1827795394856024
ffn.value.l3,2.173377873119321
ffn.value.l4,2.1765614564149076
ffn.value.l5,2.158391692529485
ffn.value.l6,2.184848849305738
ffn.value.l7,2.2041287684523696
ffn.value.l8,2.24550167203979
ffn.value.l9,2.1502966207538243
head,1.5930932469190184
quant,2.290919175456603
