Layer,Mean
att.key.l0,1.8366369110328595
att.key.l1,2.023169185655423
att.key.l10,1.5014179513735104
att.key.l11,1.6245246610418025
att.key.l2,1.8493826120876058
att.key.l3,1.723922170162109
att.key.l4,1.7682281708708831
att.key.l5,1.7099183335120056
att.key.l6,1.5754806426675012
att.key.l7,1.8146031402129852
att.key.l8,1.4719675150061942
att.key.l9,1.5358014852547182
att.receptance.l0,1.789238886282521
att.receptance.l1,1.823621632791675
att.receptance.l10,1.711451636061092
att.receptance.l11,1.7192601763364583
att.receptance.l2,1.7781033245955917
att.receptance.l3,1.7042900015052247
att.receptance.l4,1.6522134610972092
att.receptance.l5,1.6685504988385713
att.receptance.l6,1.646198668268778
att.receptance.l7,1.8569062276057977
att.receptance.l8,1.8014905171267206
att.receptance.l9,1.7213955993377656
att.sigmoid.l0,0.647425047194968
att.sigmoid.l1,0.30142393565074516
att.sigmoid.l10,1.004434178185086
att.sigmoid.l11,1.0757003643746332
att.sigmoid.l2,0.39955300033249036
att.sigmoid.l3,0.2489848193812997
att.sigmoid.l4,0.33048698043325836
att.sigmoid.l5,0.43446958325368223
att.sigmoid.l6,0.33079145988181613
att.sigmoid.l7,0.37423189195344575
att.sigmoid.l8,0.13717999224161914
att.sigmoid.l9,0.5936212940373645
att.value.l0,1.777580248037868
att.value.l1,1.5916463004729409
att.value.l10,1.9137766305780353
att.value.l11,1.8221817278357015
att.value.l2,1.6128476447856652
att.value.l3,1.6346135822656345
att.value.l4,1.7101538731051882
att.value.l5,1.7900180944312467
att.value.l6,1.7822864661760371
att.value.l7,2.1545128701636447
att.value.l8,2.140132271086116
att.value.l9,2.0205254139158817
block.ln0,2.1315236957248587
block.ln1.l0,1.7622300519112517
block.ln1.l1,1.8820245123766626
block.ln1.l10,2.0065506614170463
block.ln1.l11,2.067670029354718
block.ln1.l2,1.9333675398737125
block.ln1.l3,1.92364914259723
block.ln1.l4,2.020065758855375
block.ln1.l5,1.9941704614189675
block.ln1.l6,1.957831501895013
block.ln1.l7,2.0343786069997574
block.ln1.l8,1.9943408057910916
block.ln1.l9,2.024221892706743
block.ln2.l0,2.0663973451053965
block.ln2.l1,2.034918484317427
block.ln2.l10,2.1176033254506836
block.ln2.l11,1.7053724732963602
block.ln2.l2,2.1179300924497966
block.ln2.l3,2.1226864011996014
block.ln2.l4,2.1321236094838816
block.ln2.l5,2.148929628595643
block.ln2.l6,2.141813219220775
block.ln2.l7,2.1331874547808147
block.ln2.l8,2.135445784344046
block.ln2.l9,2.1205147096238615
ffn.key.l0,2.0312394172598687
ffn.key.l1,1.896380286438302
ffn.key.l10,1.9124575477136263
ffn.key.l11,1.9166394049319078
ffn.key.l2,1.8364006441087721
ffn.key.l3,1.8503015756685635
ffn.key.l4,1.8286000080359786
ffn.key.l5,1.8209068919990106
ffn.key.l6,1.8724767213683624
ffn.key.l7,1.8447938435126818
ffn.key.l8,1.866341042577683
ffn.key.l9,1.891542170878873
ffn.receptance.l0,2.1519137730806985
ffn.receptance.l1,2.1749613763710993
ffn.receptance.l10,2.0810494640456145
ffn.receptance.l11,2.0291112892814254
ffn.receptance.l2,2.1926340676205602
ffn.receptance.l3,2.1700584976021204
ffn.receptance.l4,2.1841164265193336
ffn.receptance.l5,2.195626048457399
ffn.receptance.l6,2.1423096753225512
ffn.receptance.l7,2.18109467951802
ffn.receptance.l8,2.168735066760678
ffn.receptance.l9,2.1274777605389517
ffn.sigmoid.l0,2.1367229742904406
ffn.sigmoid.l1,2.3896134115181957
ffn.sigmoid.l10,2.3199948195733424
ffn.sigmoid.l11,2.131109017973885
ffn.sigmoid.l2,2.459925037708063
ffn.sigmoid.l3,2.382877794879236
ffn.sigmoid.l4,2.382053501620319
ffn.sigmoid.l5,2.3518038029354487
ffn.sigmoid.l6,2.260935344489093
ffn.sigmoid.l7,2.29430636406055
ffn.sigmoid.l8,2.290500623208755
ffn.sigmoid.l9,2.288510410918395
ffn.value.l0,2.188665468199485
ffn.value.l1,2.2338898557016096
ffn.value.l10,2.2260313663140505
ffn.value.l11,2.3443602872474645
ffn.value.l2,2.181028650106095
ffn.value.l3,2.170767900627227
ffn.value.l4,2.1843790630268534
ffn.value.l5,2.1693747309914655
ffn.value.l6,2.1832654485593075
ffn.value.l7,2.209733497268958
ffn.value.l8,2.2444845590314295
ffn.value.l9,2.152296093160599
head,1.578337228289565
quant,2.266175840475054
