Layer,Mean
att.key.l0,1.8188916676759803
att.key.l1,1.9980326607772534
att.key.l10,1.4725054375905569
att.key.l11,1.6092513243214945
att.key.l2,1.8369050417854471
att.key.l3,1.6777133786986578
att.key.l4,1.7617937489333226
att.key.l5,1.66161257848702
att.key.l6,1.5262958956856638
att.key.l7,1.7859581031681457
att.key.l8,1.5110925044801382
att.key.l9,1.5266316473113026
att.receptance.l0,1.8121394930103492
att.receptance.l1,1.811804346291213
att.receptance.l10,1.6515755466119917
att.receptance.l11,1.6774433331850058
att.receptance.l2,1.727182707622939
att.receptance.l3,1.6907153962943002
att.receptance.l4,1.6244584962860618
att.receptance.l5,1.6368582076311997
att.receptance.l6,1.5933314097366889
att.receptance.l7,1.8450857385880806
att.receptance.l8,1.7708574494048837
att.receptance.l9,1.7119728881251135
att.sigmoid.l0,0.6363657567537293
att.sigmoid.l1,0.2837950098958572
att.sigmoid.l10,0.9813712162875378
att.sigmoid.l11,1.0156250705927212
att.sigmoid.l2,0.38915182526940373
att.sigmoid.l3,0.24158863184407517
att.sigmoid.l4,0.3224839897287328
att.sigmoid.l5,0.43867753119882363
att.sigmoid.l6,0.30941180981544186
att.sigmoid.l7,0.36353914405860027
att.sigmoid.l8,0.1299434402977612
att.sigmoid.l9,0.5904593382456759
att.value.l0,1.7789641761131758
att.value.l1,1.6204806600303658
att.value.l10,1.9158301598210918
att.value.l11,1.8067625333354822
att.value.l2,1.631679066260146
att.value.l3,1.635126284553517
att.value.l4,1.7180039457644771
att.value.l5,1.789064733101115
att.value.l6,1.8094949624419474
att.value.l7,2.1746824460289917
att.value.l8,2.1669976307586425
att.value.l9,2.0126993627357743
block.ln0,2.140075751091667
block.ln1.l0,1.7429866410093835
block.ln1.l1,1.938067539324825
block.ln1.l10,2.0050301837665843
block.ln1.l11,2.0434233380928153
block.ln1.l2,1.9804738467839427
block.ln1.l3,1.9237553874250413
block.ln1.l4,2.0250306571097156
block.ln1.l5,1.982672123988176
block.ln1.l6,1.9545688383475535
block.ln1.l7,2.0286755655760995
block.ln1.l8,1.9647026546987607
block.ln1.l9,2.009609336568174
block.ln2.l0,2.0905532918416427
block.ln2.l1,2.033406588633598
block.ln2.l10,2.1046729916145854
block.ln2.l11,1.6268251519209211
block.ln2.l2,2.1180815104020163
block.ln2.l3,2.1391926555082454
block.ln2.l4,2.133513545609613
block.ln2.l5,2.1405551566168515
block.ln2.l6,2.1338518077693474
block.ln2.l7,2.1338734009315505
block.ln2.l8,2.1276282116055616
block.ln2.l9,2.1176660025811644
ffn.key.l0,2.0221468138522365
ffn.key.l1,1.911423475949956
ffn.key.l10,1.9054614990526844
ffn.key.l11,1.9101439402574105
ffn.key.l2,1.8304013256799017
ffn.key.l3,1.8360252849251557
ffn.key.l4,1.8332072256341856
ffn.key.l5,1.8230740806436263
ffn.key.l6,1.8448957553238499
ffn.key.l7,1.8355405112160075
ffn.key.l8,1.8581587380901683
ffn.key.l9,1.9031989896553778
ffn.receptance.l0,2.1643625982535215
ffn.receptance.l1,2.184463482623002
ffn.receptance.l10,2.05769917182552
ffn.receptance.l11,2.049686037976007
ffn.receptance.l2,2.1980912377610173
ffn.receptance.l3,2.1752916947156327
ffn.receptance.l4,2.1843543731827495
ffn.receptance.l5,2.2050145036618694
ffn.receptance.l6,2.1628562055705984
ffn.receptance.l7,2.20849159045059
ffn.receptance.l8,2.177262783039127
ffn.receptance.l9,2.143645050692024
ffn.sigmoid.l0,2.154487584867796
ffn.sigmoid.l1,2.390630354768856
ffn.sigmoid.l10,2.3012871368017054
ffn.sigmoid.l11,2.069034265143061
ffn.sigmoid.l2,2.462180817690388
ffn.sigmoid.l3,2.403031769370202
ffn.sigmoid.l4,2.3597142249595193
ffn.sigmoid.l5,2.3441034422178686
ffn.sigmoid.l6,2.2685563350768696
ffn.sigmoid.l7,2.2994784032318716
ffn.sigmoid.l8,2.2582147567622117
ffn.sigmoid.l9,2.2675178016426836
ffn.value.l0,2.230750416702549
ffn.value.l1,2.255249977727369
ffn.value.l10,2.202605361258737
ffn.value.l11,2.3070123555286073
ffn.value.l2,2.2133933701415947
ffn.value.l3,2.1804993854405086
ffn.value.l4,2.20593894184482
ffn.value.l5,2.1840328691761983
ffn.value.l6,2.2034294462504307
ffn.value.l7,2.218147071450574
ffn.value.l8,2.2458813721687867
ffn.value.l9,2.1510670778722347
head,1.5530842143270138
quant,2.2732188717283197
