Layer,Mean
att.key.l0,1.815821740658393
att.key.l1,2.009720594012635
att.key.l10,1.4538739297548646
att.key.l11,1.6258057073730736
att.key.l2,1.8323792533557384
att.key.l3,1.7028673944895012
att.key.l4,1.7616792085534143
att.key.l5,1.6531447063450309
att.key.l6,1.5155447094711327
att.key.l7,1.7813957684852026
att.key.l8,1.4780596865113542
att.key.l9,1.5223848072894952
att.receptance.l0,1.8532813881526131
att.receptance.l1,1.8131570840021063
att.receptance.l10,1.6609220375111782
att.receptance.l11,1.6594152130005944
att.receptance.l2,1.7249008815236266
att.receptance.l3,1.6813574056423182
att.receptance.l4,1.6228957872013445
att.receptance.l5,1.6264320969684636
att.receptance.l6,1.582437914531085
att.receptance.l7,1.8338110154745413
att.receptance.l8,1.7637961400377131
att.receptance.l9,1.721582978972411
att.sigmoid.l0,0.6320714930545038
att.sigmoid.l1,0.27426510093575096
att.sigmoid.l10,0.962238606449391
att.sigmoid.l11,0.9890659426116172
att.sigmoid.l2,0.37542855712887563
att.sigmoid.l3,0.2380136572702767
att.sigmoid.l4,0.31950716211347596
att.sigmoid.l5,0.4368797047994997
att.sigmoid.l6,0.309398849308537
att.sigmoid.l7,0.3600175752079244
att.sigmoid.l8,0.12379065884396717
att.sigmoid.l9,0.5770248276436959
att.value.l0,1.7748681873952499
att.value.l1,1.6048489660109666
att.value.l10,1.9222455391839681
att.value.l11,1.8172846253290367
att.value.l2,1.628650036754656
att.value.l3,1.6306971691709589
att.value.l4,1.7245771202160736
att.value.l5,1.7961446571212012
att.value.l6,1.8004860766058755
att.value.l7,2.1873501394872643
att.value.l8,2.1667916051868517
att.value.l9,2.012312674298421
block.ln0,2.1444053727801355
block.ln1.l0,1.7464790217456478
block.ln1.l1,1.945856798028353
block.ln1.l10,1.9963784740568993
block.ln1.l11,2.0353528267393957
block.ln1.l2,1.9956010865066052
block.ln1.l3,1.9346041198344253
block.ln1.l4,2.046042268954719
block.ln1.l5,1.9967565411587558
block.ln1.l6,1.9613868584524374
block.ln1.l7,2.026375523170832
block.ln1.l8,1.9772446663457064
block.ln1.l9,2.020158317778925
block.ln2.l0,2.0913520965723515
block.ln2.l1,2.0328831636129725
block.ln2.l10,2.100407382690148
block.ln2.l11,1.6190291050074084
block.ln2.l2,2.122693651155997
block.ln2.l3,2.135536341242311
block.ln2.l4,2.1406073459688026
block.ln2.l5,2.146559709781187
block.ln2.l6,2.135880231872292
block.ln2.l7,2.13191190798975
block.ln2.l8,2.1313586019270505
block.ln2.l9,2.115060432140871
ffn.key.l0,2.033623709613267
ffn.key.l1,1.907954097956176
ffn.key.l10,1.89529933652572
ffn.key.l11,1.8882621459404358
ffn.key.l2,1.82993932050637
ffn.key.l3,1.84219842051468
ffn.key.l4,1.8320629456722342
ffn.key.l5,1.8216398632669264
ffn.key.l6,1.8510397017742335
ffn.key.l7,1.8386967160703744
ffn.key.l8,1.8597892537007434
ffn.key.l9,1.9039389858335085
ffn.receptance.l0,2.162250293496681
ffn.receptance.l1,2.1911173465674136
ffn.receptance.l10,2.064522845738066
ffn.receptance.l11,2.040925411232671
ffn.receptance.l2,2.2029193566562335
ffn.receptance.l3,2.17655516954953
ffn.receptance.l4,2.1834227941550965
ffn.receptance.l5,2.2043390831823184
ffn.receptance.l6,2.147911353928952
ffn.receptance.l7,2.208926192923963
ffn.receptance.l8,2.1792250068681933
ffn.receptance.l9,2.1368738583413363
ffn.sigmoid.l0,2.119790052764023
ffn.sigmoid.l1,2.391462082128972
ffn.sigmoid.l10,2.329515680019975
ffn.sigmoid.l11,2.0307222150266138
ffn.sigmoid.l2,2.470227822538988
ffn.sigmoid.l3,2.407702871008252
ffn.sigmoid.l4,2.361220055582682
ffn.sigmoid.l5,2.3676384115897737
ffn.sigmoid.l6,2.262088633518396
ffn.sigmoid.l7,2.3334248495532965
ffn.sigmoid.l8,2.2785264100860125
ffn.sigmoid.l9,2.2913120759484498
ffn.value.l0,2.218717726563927
ffn.value.l1,2.257929390147184
ffn.value.l10,2.214900180808463
ffn.value.l11,2.3277100592791378
ffn.value.l2,2.2187497586605556
ffn.value.l3,2.179310898628188
ffn.value.l4,2.209125286019335
ffn.value.l5,2.1911200732754637
ffn.value.l6,2.2056427593102126
ffn.value.l7,2.218910596888339
ffn.value.l8,2.2476069367505365
ffn.value.l9,2.1528497998748333
head,1.542080065232587
quant,2.2922262642905675
