Layer,Mean
att.key.l0,0.22287970877839006
att.key.l1,0.2717115041930048
att.key.l10,0.18459869257231581
att.key.l11,0.20574931364452004
att.key.l2,0.24123852030641516
att.key.l3,0.20700122635378107
att.key.l4,0.2294235147039113
att.key.l5,0.22054802365638743
att.key.l6,0.21014785235730027
att.key.l7,0.23305713843437542
att.key.l8,0.16796014558836778
att.key.l9,0.17368429191994972
att.receptance.l0,0.22078140260538154
att.receptance.l1,0.24530649189965079
att.receptance.l10,0.21205066075106846
att.receptance.l11,0.2137411254927858
att.receptance.l2,0.23394887949476642
att.receptance.l3,0.2175311900481337
att.receptance.l4,0.19981246452108042
att.receptance.l5,0.20380499697572405
att.receptance.l6,0.1878637980459153
att.receptance.l7,0.23945626118827976
att.receptance.l8,0.22918339832466805
att.receptance.l9,0.20321331293969994
att.sigmoid.l0,0.06387177143517597
att.sigmoid.l1,0.02180824489537681
att.sigmoid.l10,0.10546158625387993
att.sigmoid.l11,0.11868895769729122
att.sigmoid.l2,0.021921403556151818
att.sigmoid.l3,0.005381539511718636
att.sigmoid.l4,0.006100198244160913
att.sigmoid.l5,0.008013773772346865
att.sigmoid.l6,0.004891690398303818
att.sigmoid.l7,0.019186119912074116
att.sigmoid.l8,0.0012126163009786367
att.sigmoid.l9,0.03833863960838503
att.value.l0,0.21189904810071747
att.value.l1,0.1928463694844488
att.value.l10,0.24782920721189436
att.value.l11,0.22919942464315368
att.value.l2,0.19261796336947803
att.value.l3,0.19113739820244474
att.value.l4,0.22309408919839188
att.value.l5,0.22640990091649638
att.value.l6,0.22324565874294386
att.value.l7,0.3275772715779564
att.value.l8,0.3162796913047475
att.value.l9,0.2849880780480929
block.ln0,0.31417385161800176
block.ln1.l0,0.2076196730182809
block.ln1.l1,0.24420496814632148
block.ln1.l10,0.2657493887050538
block.ln1.l11,0.2910287550214469
block.ln1.l2,0.25902320922235833
block.ln1.l3,0.24984054992967195
block.ln1.l4,0.2656145397071617
block.ln1.l5,0.2740537942476362
block.ln1.l6,0.2549377530715018
block.ln1.l7,0.27381475824657886
block.ln1.l8,0.2665380942106764
block.ln1.l9,0.2675228565457845
block.ln2.l0,0.2912772626951737
block.ln2.l1,0.286737978721184
block.ln2.l10,0.3123607394585146
block.ln2.l11,0.18296146436325422
block.ln2.l2,0.304627102420154
block.ln2.l3,0.30097190892827586
block.ln2.l4,0.30447041072405656
block.ln2.l5,0.3055038407166199
block.ln2.l6,0.3063293722646663
block.ln2.l7,0.30592321945690804
block.ln2.l8,0.30534553362630307
block.ln2.l9,0.3049175290492727
ffn.key.l0,0.28472578480411365
ffn.key.l1,0.24535487839394932
ffn.key.l10,0.24283435993335434
ffn.key.l11,0.25656437279247235
ffn.key.l2,0.23123248486672932
ffn.key.l3,0.2377642483845055
ffn.key.l4,0.2313742773409838
ffn.key.l5,0.22712642107059938
ffn.key.l6,0.2561930157525807
ffn.key.l7,0.23302615759458095
ffn.key.l8,0.24447106091519227
ffn.key.l9,0.24931919611911188
ffn.receptance.l0,0.31046684833111987
ffn.receptance.l1,0.3147955337171496
ffn.receptance.l10,0.2928033719793045
ffn.receptance.l11,0.27548439728855556
ffn.receptance.l2,0.3223566389907573
ffn.receptance.l3,0.30642914611804856
ffn.receptance.l4,0.3191377893863968
ffn.receptance.l5,0.33437219186904804
ffn.receptance.l6,0.3079890649903995
ffn.receptance.l7,0.3194200927748265
ffn.receptance.l8,0.30657450076279685
ffn.receptance.l9,0.3018357050856614
ffn.sigmoid.l0,0.30127808544604967
ffn.sigmoid.l1,0.37473659458388664
ffn.sigmoid.l10,0.3778284407280954
ffn.sigmoid.l11,0.2730829745527779
ffn.sigmoid.l2,0.39592335308414106
ffn.sigmoid.l3,0.3705413279888277
ffn.sigmoid.l4,0.3734030773981828
ffn.sigmoid.l5,0.36668643834843273
ffn.sigmoid.l6,0.3659713604916198
ffn.sigmoid.l7,0.3796704576710622
ffn.sigmoid.l8,0.37331745212330736
ffn.sigmoid.l9,0.3575765394645404
ffn.value.l0,0.31961515794541406
ffn.value.l1,0.33848959378378707
ffn.value.l10,0.31563726560249844
ffn.value.l11,0.36257620679278363
ffn.value.l2,0.3158625600994418
ffn.value.l3,0.31650702564585664
ffn.value.l4,0.30868105938082674
ffn.value.l5,0.30665025430900195
ffn.value.l6,0.31835276922734435
ffn.value.l7,0.320491397067497
ffn.value.l8,0.3274083068417272
ffn.value.l9,0.30432185350705293
head,0.18922900587581284
