Layer,Mean
att.key.l0,0.23367384169595293
att.key.l1,0.26696598517545433
att.key.l10,0.17933745656247746
att.key.l11,0.2030408800949079
att.key.l2,0.23671431478058289
att.key.l3,0.20700616297997318
att.key.l4,0.23217326693959894
att.key.l5,0.21861232360814106
att.key.l6,0.2087113964842907
att.key.l7,0.23223256957992536
att.key.l8,0.1610622982691732
att.key.l9,0.16562857339422837
att.receptance.l0,0.21480789048299143
att.receptance.l1,0.2368721341060108
att.receptance.l10,0.21210817162473
att.receptance.l11,0.21064449942327365
att.receptance.l2,0.23375457628815333
att.receptance.l3,0.2153806988606434
att.receptance.l4,0.19621083982309268
att.receptance.l5,0.2076503565108236
att.receptance.l6,0.1919150084834616
att.receptance.l7,0.2401646476819418
att.receptance.l8,0.22743586495152662
att.receptance.l9,0.20472188630311852
att.sigmoid.l0,0.06717926869126775
att.sigmoid.l1,0.022820000990935698
att.sigmoid.l10,0.1074085587425968
att.sigmoid.l11,0.10758907670371341
att.sigmoid.l2,0.022697577514253643
att.sigmoid.l3,0.0061386869832697885
att.sigmoid.l4,0.006480018125710912
att.sigmoid.l5,0.007669277440833857
att.sigmoid.l6,0.006112265299230434
att.sigmoid.l7,0.01778225872992404
att.sigmoid.l8,0.0019323091413461781
att.sigmoid.l9,0.03894127104139841
att.value.l0,0.2096153127942075
att.value.l1,0.18905953758101088
att.value.l10,0.24781984035622637
att.value.l11,0.2283614337354974
att.value.l2,0.18745836258286253
att.value.l3,0.18830694410331156
att.value.l4,0.21955457326495834
att.value.l5,0.22560154394240034
att.value.l6,0.22086370083862208
att.value.l7,0.32260521972445455
att.value.l8,0.30973505175424515
att.value.l9,0.27711359966377597
block.ln0,0.30379771924817195
block.ln1.l0,0.1960972914570851
block.ln1.l1,0.2509929288056078
block.ln1.l10,0.26664941364888706
block.ln1.l11,0.2904440041603689
block.ln1.l2,0.2540934472341858
block.ln1.l3,0.24641637729249177
block.ln1.l4,0.2613796645066699
block.ln1.l5,0.266635740265923
block.ln1.l6,0.2510323462735205
block.ln1.l7,0.2708296313223779
block.ln1.l8,0.2604363603220151
block.ln1.l9,0.26643106702287006
block.ln2.l0,0.2909574592349268
block.ln2.l1,0.28257011787902164
block.ln2.l10,0.30198578714833524
block.ln2.l11,0.18543598759424967
block.ln2.l2,0.3007665262638804
block.ln2.l3,0.3004037465107549
block.ln2.l4,0.2965491851985098
block.ln2.l5,0.30645761590978876
block.ln2.l6,0.30637564819783375
block.ln2.l7,0.30251375675660913
block.ln2.l8,0.300879280290364
block.ln2.l9,0.29963349664247874
ffn.key.l0,0.2811118281627967
ffn.key.l1,0.24030351959363846
ffn.key.l10,0.24678294814528404
ffn.key.l11,0.2543276706597677
ffn.key.l2,0.2298182362962491
ffn.key.l3,0.2377503865121683
ffn.key.l4,0.2289986572419032
ffn.key.l5,0.22943270879362399
ffn.key.l6,0.2495807386212649
ffn.key.l7,0.23367628581192953
ffn.key.l8,0.24427115902711033
ffn.key.l9,0.24892233720263013
ffn.receptance.l0,0.313240238226609
ffn.receptance.l1,0.3142681668238689
ffn.receptance.l10,0.28546485419224243
ffn.receptance.l11,0.2709511783713473
ffn.receptance.l2,0.31663604978349696
ffn.receptance.l3,0.307300581662794
ffn.receptance.l4,0.3178824288231079
ffn.receptance.l5,0.3337531699507872
ffn.receptance.l6,0.3053783357376946
ffn.receptance.l7,0.3138072805220965
ffn.receptance.l8,0.3106770684121102
ffn.receptance.l9,0.29561280192290773
ffn.sigmoid.l0,0.30467778322957395
ffn.sigmoid.l1,0.36796936381297995
ffn.sigmoid.l10,0.37163648974115987
ffn.sigmoid.l11,0.266879140609423
ffn.sigmoid.l2,0.38952448002654694
ffn.sigmoid.l3,0.36679976707338324
ffn.sigmoid.l4,0.37362425872832405
ffn.sigmoid.l5,0.3711960800764216
ffn.sigmoid.l6,0.3698279248505815
ffn.sigmoid.l7,0.3780975089404116
ffn.sigmoid.l8,0.3726816472248017
ffn.sigmoid.l9,0.35370686594843204
ffn.value.l0,0.315782099817764
ffn.value.l1,0.3371170375512627
ffn.value.l10,0.3218826235031898
ffn.value.l11,0.37249939081488886
ffn.value.l2,0.31108086962939413
ffn.value.l3,0.31096775990129116
ffn.value.l4,0.31144674846607195
ffn.value.l5,0.30741970698050713
ffn.value.l6,0.315801128315801
ffn.value.l7,0.3193229831365568
ffn.value.l8,0.3259715576105636
ffn.value.l9,0.30278361538237203
head,0.18339613768863688
