Layer,Mean
att.key.l0,0.19617887586589142
att.key.l1,0.21977177315460245
att.key.l10,0.12821036392255436
att.key.l11,0.1581565015413958
att.key.l2,0.18930970635072564
att.key.l3,0.1622195828542464
att.key.l4,0.18259332046208204
att.key.l5,0.16319451831569454
att.key.l6,0.1589808503864963
att.key.l7,0.187737732050679
att.key.l8,0.13464581332828285
att.key.l9,0.13389966372389986
att.receptance.l0,0.17600513545296598
att.receptance.l1,0.19775739491850688
att.receptance.l10,0.15528016183245713
att.receptance.l11,0.16083946822457623
att.receptance.l2,0.18461724946967395
att.receptance.l3,0.1749632818637212
att.receptance.l4,0.15996361307386697
att.receptance.l5,0.15418023462480215
att.receptance.l6,0.14069625358635265
att.receptance.l7,0.1935649510239019
att.receptance.l8,0.18026775597296807
att.receptance.l9,0.16433956525047566
att.sigmoid.l0,0.04723285522007112
att.sigmoid.l1,0.013971940301181119
att.sigmoid.l10,0.08433449588807403
att.sigmoid.l11,0.08119436937605747
att.sigmoid.l2,0.015219033483052582
att.sigmoid.l3,0.0016736002329975981
att.sigmoid.l4,0.0034963629614989545
att.sigmoid.l5,0.005523245859908451
att.sigmoid.l6,0.00277648787575755
att.sigmoid.l7,0.013806270615882434
att.sigmoid.l8,0.0011978729652056222
att.sigmoid.l9,0.034101349070663305
att.value.l0,0.17384109568019912
att.value.l1,0.1514314870440514
att.value.l10,0.19898812749356165
att.value.l11,0.18419467160139044
att.value.l2,0.1521918510114773
att.value.l3,0.15117287131033755
att.value.l4,0.17465946318461073
att.value.l5,0.18072807877580604
att.value.l6,0.18566817585623138
att.value.l7,0.27336951912077145
att.value.l8,0.2645444075816875
att.value.l9,0.226290299907093
block.ln0,0.25345259768101525
block.ln1.l0,0.15696893687948454
block.ln1.l1,0.21294721573575312
block.ln1.l10,0.2214622887066499
block.ln1.l11,0.23993024818040004
block.ln1.l2,0.22024157443966155
block.ln1.l3,0.2013621042706802
block.ln1.l4,0.2222587952850382
block.ln1.l5,0.21405699328844702
block.ln1.l6,0.2065203174147783
block.ln1.l7,0.22751123334377052
block.ln1.l8,0.20954589645840974
block.ln1.l9,0.21992250581197365
block.ln2.l0,0.24312524467253685
block.ln2.l1,0.22883164581770585
block.ln2.l10,0.25597109691651426
block.ln2.l11,0.14511581665028195
block.ln2.l2,0.24927636928166294
block.ln2.l3,0.251457479442763
block.ln2.l4,0.24855224496992023
block.ln2.l5,0.2485989269286184
block.ln2.l6,0.2482686851533078
block.ln2.l7,0.25257917210921427
block.ln2.l8,0.24558704489487518
block.ln2.l9,0.24646105546578875
ffn.key.l0,0.22829390831624477
ffn.key.l1,0.19888975587954136
ffn.key.l10,0.20212529417778105
ffn.key.l11,0.20983998364975473
ffn.key.l2,0.18319081823720976
ffn.key.l3,0.1901194181079164
ffn.key.l4,0.19247962055395376
ffn.key.l5,0.18333580533678814
ffn.key.l6,0.20007562059583434
ffn.key.l7,0.189066323458222
ffn.key.l8,0.18592788925135206
ffn.key.l9,0.20385802495878322
ffn.receptance.l0,0.26057835663987716
ffn.receptance.l1,0.2607227921213954
ffn.receptance.l10,0.2325037281691558
ffn.receptance.l11,0.2231705516871266
ffn.receptance.l2,0.2614501707361863
ffn.receptance.l3,0.2535782594310072
ffn.receptance.l4,0.26106301821142963
ffn.receptance.l5,0.28037735530494207
ffn.receptance.l6,0.2595638231234655
ffn.receptance.l7,0.2684768286834169
ffn.receptance.l8,0.25980752028683585
ffn.receptance.l9,0.24907517156631534
ffn.sigmoid.l0,0.25707262307430667
ffn.sigmoid.l1,0.31297715698021855
ffn.sigmoid.l10,0.2947676723356074
ffn.sigmoid.l11,0.1952543418074732
ffn.sigmoid.l2,0.3176906512290822
ffn.sigmoid.l3,0.3104184032023463
ffn.sigmoid.l4,0.2965679330477034
ffn.sigmoid.l5,0.2994276022823022
ffn.sigmoid.l6,0.29403521074519223
ffn.sigmoid.l7,0.3028794223405607
ffn.sigmoid.l8,0.2982084297281807
ffn.sigmoid.l9,0.2915710868674304
ffn.value.l0,0.2708525301088861
ffn.value.l1,0.28121307328566314
ffn.value.l10,0.2633264809881369
ffn.value.l11,0.288869869487543
ffn.value.l2,0.26829418148929224
ffn.value.l3,0.2601557034855476
ffn.value.l4,0.26128915781888185
ffn.value.l5,0.2581437370227193
ffn.value.l6,0.2674036999649172
ffn.value.l7,0.26560440441873645
ffn.value.l8,0.27091774181466516
ffn.value.l9,0.25112773581262293
head,0.1493647923529447
