Layer,Mean
att.key.l0,0.19204439151267874
att.key.l1,0.22087362790333223
att.key.l10,0.12628159232764202
att.key.l11,0.16247624771209943
att.key.l2,0.18537177036365474
att.key.l3,0.16300874341308624
att.key.l4,0.1887613968400318
att.key.l5,0.16134423381373497
att.key.l6,0.15610729836561119
att.key.l7,0.18723146111941819
att.key.l8,0.1318213955395452
att.key.l9,0.13328477469657488
att.receptance.l0,0.19006592187708907
att.receptance.l1,0.19818704458651992
att.receptance.l10,0.15420838610461887
att.receptance.l11,0.15089603324274256
att.receptance.l2,0.18326962419347922
att.receptance.l3,0.1700869148985438
att.receptance.l4,0.15619926300252845
att.receptance.l5,0.15303593344691166
att.receptance.l6,0.1398810249411566
att.receptance.l7,0.18922300800307754
att.receptance.l8,0.18173713619387755
att.receptance.l9,0.16675086384446902
att.sigmoid.l0,0.050623003210121136
att.sigmoid.l1,0.012547177221714235
att.sigmoid.l10,0.08540368133462886
att.sigmoid.l11,0.08242686816194664
att.sigmoid.l2,0.015473385181192244
att.sigmoid.l3,0.002001853466661002
att.sigmoid.l4,0.002694638960062634
att.sigmoid.l5,0.007338929456264282
att.sigmoid.l6,0.0021057671260489652
att.sigmoid.l7,0.013427398077586923
att.sigmoid.l8,0.0009494997147440663
att.sigmoid.l9,0.03277930958418701
att.value.l0,0.17633489266926386
att.value.l1,0.15019382389913327
att.value.l10,0.20342377940271844
att.value.l11,0.1840022527478124
att.value.l2,0.1537579170637111
att.value.l3,0.1489298792887412
att.value.l4,0.1763409202663678
att.value.l5,0.17982156470126404
att.value.l6,0.18474443924486356
att.value.l7,0.2755014342477532
att.value.l8,0.2639933613140043
att.value.l9,0.22602390185553223
block.ln0,0.250742729675593
block.ln1.l0,0.17304646157292658
block.ln1.l1,0.2128049546842346
block.ln1.l10,0.2239342419177979
block.ln1.l11,0.23751861886215617
block.ln1.l2,0.2186700092013526
block.ln1.l3,0.20149525067699137
block.ln1.l4,0.2216595615462749
block.ln1.l5,0.2177368572663307
block.ln1.l6,0.2064141955500039
block.ln1.l7,0.22655478974064655
block.ln1.l8,0.215484028134355
block.ln1.l9,0.22386408606358324
block.ln2.l0,0.23898841223638256
block.ln2.l1,0.22670413274370038
block.ln2.l10,0.2521230607555132
block.ln2.l11,0.14156866923613975
block.ln2.l2,0.2459762356481685
block.ln2.l3,0.25271791428753065
block.ln2.l4,0.2529459027625802
block.ln2.l5,0.25583654730336314
block.ln2.l6,0.2504239914433315
block.ln2.l7,0.25078779208779467
block.ln2.l8,0.25216189910863884
block.ln2.l9,0.24935749707513782
ffn.key.l0,0.23180453773202567
ffn.key.l1,0.2020537358493608
ffn.key.l10,0.2003537104667588
ffn.key.l11,0.20461141521230952
ffn.key.l2,0.20041522997409308
ffn.key.l3,0.19167547908704188
ffn.key.l4,0.1917419330167029
ffn.key.l5,0.20116386007059275
ffn.key.l6,0.19859515804124964
ffn.key.l7,0.1896802161083289
ffn.key.l8,0.19013229991488775
ffn.key.l9,0.20439830987431948
ffn.receptance.l0,0.2592207455262777
ffn.receptance.l1,0.26697953445623235
ffn.receptance.l10,0.23175998673616746
ffn.receptance.l11,0.22826415852903825
ffn.receptance.l2,0.2693845869239509
ffn.receptance.l3,0.25658945104179903
ffn.receptance.l4,0.2646337511178497
ffn.receptance.l5,0.28056415326452433
ffn.receptance.l6,0.26155874220214836
ffn.receptance.l7,0.2707112277992878
ffn.receptance.l8,0.26179487103362664
ffn.receptance.l9,0.24734932667998719
ffn.sigmoid.l0,0.24981563521456004
ffn.sigmoid.l1,0.30823306455145644
ffn.sigmoid.l10,0.29680332346680516
ffn.sigmoid.l11,0.18514621552642965
ffn.sigmoid.l2,0.3259500639212462
ffn.sigmoid.l3,0.3131316730720899
ffn.sigmoid.l4,0.2969180376827348
ffn.sigmoid.l5,0.30817121303219214
ffn.sigmoid.l6,0.3014684769780423
ffn.sigmoid.l7,0.31091083954147414
ffn.sigmoid.l8,0.3022669127692949
ffn.sigmoid.l9,0.2938411980592548
ffn.value.l0,0.27026980432236414
ffn.value.l1,0.28209321209348653
ffn.value.l10,0.2709318003796429
ffn.value.l11,0.29574576842525874
ffn.value.l2,0.2723958768046493
ffn.value.l3,0.26006683687935955
ffn.value.l4,0.2648121717112245
ffn.value.l5,0.2569023969329693
ffn.value.l6,0.26649393763753676
ffn.value.l7,0.26674926654538855
ffn.value.l8,0.2647676828347795
ffn.value.l9,0.24890687345984316
head,0.14778526830660058
